url,ten_san_pham,thuong_hieu,gia_ban,sku,mo_ta_ngan,Loại case,Hỗ trợ quạt,Số khe cắm PCI,Kích thước,Hãng sản xuất,Loại tản nhiệt,Số vòng quay của quạt,Độ ồn (dBA),Kết nối,Chipset,Socket,Khe RAM tối đa ,Kiểu RAM hỗ trợ,Dung lượng RAM tối đa ,Số cổng USB,LAN,Âm thanh,Loại ổ cứng,Kết nối ,Dung lượng,Tốc độ đọc,Hỗ trợ hệ điều hành,Công suất nguồn,Quạt làm mát,Tiêu chuẩn nguồn,Dung lượng ổ cứng,Chất liệu,Tính năng khác,Loại RAM,Bus RAM,Hỗ trợ,Độ trễ,Điện áp,Đèn LED,Nhiệt độ hoạt động,Dòng sản phẩm ,Thế hệ CPU,Số nhân,Số luồng,Tốc độ xử lý ,Cache,Phiên bản PCI Express,Chip đồ họa,Điện năng tiêu thụ,Công nghệ hỗ trợ,Tốc độ ghi,Chất liệu ,Chip AI,Tiến trình sản xuất,Cổng giao tiếp,Kiểu bộ nhớ,Giao diện bộ nhớ,Loại GPU,GPU clock,Giao tiếp PCI,Số lượng đơn vị xử lí ,Tản nhiệt,Đầu cấp nguồn,Nguồn đề xuất,Tốc độ vòng quay,Bộ nhớ đệm,Tuổi thọ quạt,Tiện ích,Dòng điện vào,Công nghệ/Đạt chứng nhận,Công suất
https://cellphones.com.vn/cpu-intel-core-i5-12500.html,CPU Intel Core i5-12500,Intel,Liên hệ,CPU.IT.97,"Mua CPU Intel Core i5-12500 chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.",,,,,Intel,,,,,Intel,FCLGA1700,,,,,,,,,,,,,,,,,,,,,,,,,Core i5,Intel thế hệ 12,6,12,Cơ bản 3.00 GHzTurbo tối đa 4.60 GHz,L1: 18 MBL2: 7.5 MB,PCIe 5.0 và PCIe 4.0,Intel UHD Graphics 770,65 W (Tối đa 117 W),Công nghệ Intel GNA 3.0Tăng cường học sâu Intel® Deep Learning BoostCông Nghệ Intel® Turbo Boost Max 3.0Công nghệ Intel® Turbo Boost 2.0Intel® 64Công nghệ Intel SpeedStep®,,,,,,,,,,,,,,,,,,,,,
https://cellphones.com.vn/mainboard-msi-pro-b760m-a-wifi-ddr4.html,Mainboard MSI PRO B760M-A WIFI DDR4,MSI,Liên hệ,MB.MSI.07,"Mua Mainboard MSI PRO B760M-A WIFI DDR4 chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.",,,,M-ATX,MSI,,,,,Intel,LGA 1700,4,DDR4,128GB,,Realtek® RTL8125BG 2.5G LAN,Realtek® ALC897 CodecÂm thanh độ phân giải cao 7.1 kênh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://cellphones.com.vn/o-cung-di-dong-ssd-transcend-esd410c-2000mbs-2tb.html,Ổ cứng di động Transcend ESD410C 2000MB/s 2TB,Transcend,Liên hệ,OC.TC.02,"Mua Ổ cứng di động Transcend ESD410C 2000MB/s 2TB chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.",,,,,Transcend,,,,USB-C ,,,,,,,,,SSD,,,2000 MB/s,Microsoft Windows macOS iOS/iPadOS Linux ChromeOS Android,,,,2TB,,Chống nước IPX5Đạt thử nghiệm thả rơi của quân đội Hoa Kỳ MIL-STD-810GTiêu chuẩn mã hóa nâng cao (AES) 256 bit Bộ nhớ flash 3D NAND,,,,,,,,,,,,,,,,,,2000 MB/s,,,,,,,,,,,,,,,,,,,,
https://cellphones.com.vn/mainboard-gigabyte-z790-a-elite-ax-ddr4.html,Mainboard Gigabyte Z790 A Elite AX DDR4,Gigabyte,Liên hệ,MB.GB.55,"Mua Mainboard Gigabyte Z790 A Elite AX DDR4 chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.",,,,ATX,Gigabyte,,,,,Intel,LGA 1700,4,DDR4,128GB,1 x USB Type-C®  1 x USB Type-C®  2 x USB 3.2 Gen 2 Type-A   5 x USB 3.2 Gen 1 ports  8 x USB 2.0/1.1 ports ,Realtek® 2.5GbE ,Realtek® Audio CODEC  High Definition Audio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://cellphones.com.vn/tan-nhiet-nuoc-corsair-h150i-elite-capellix-xt.html,Tản nhiệt nước Corsair H150i Elite Capellix XT,Corsair,Liên hệ,tan-nhiet-nuoc-corsair-h150i-elite-capellix-xt,"Mua Tản nhiệt nước Corsair H150i Elite Capellix XT chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.",,,,,Corsair,Tản nhiệt nước,550 - 2100 RPM ±10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vật liệu làm lạnh: ĐồngVật liệu tản nhiệt: Nhôm,,,,,,,,,,,,,,,,,,,
https://cellphones.com.vn/o-cung-ssd-kingston-skc3000-m-2-pcie-gen-4-nvme-1tb.html,Ổ cứng SSD Kingston SKC3000 M2 PCIe NVME Gen 4 1TB,Kingston,Liên hệ,OC.KT.13,"Mua Ổ cứng SSD Kingston SKC3000 M2 PCIe NVME Gen 4 1TB chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.",,,,,Kingston,,,,,,,,,,,,,SSD,M2 PCIe,1TB,7000 MB/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://cellphones.com.vn/nguon-may-tinh-msi-mag-a650bnl-650w.html,Nguồn máy tính MSI Mag A650BNL Đen 650W (80 Plus Bronze),MSI,Liên hệ,NMT.MSI.04,"Mua nguồn máy tính MSI Mag A650BNL Đen 650W (80 Plus Bronze) chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.",,,,,MSI,,,,,,,,,,,,,,,,,,650W,1 x Fan 12 cm,80 Plus Bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://cellphones.com.vn/nguon-may-tinh-msi-mag-a1000gl-pcie5-1000w.html,Nguồn máy tính MSI Mag A1000GL PCIe5 1000W (80 Plus Gold),MSI,Liên hệ,NMT.MSI.09,"Mua nguồn máy tính MSI Mag A1000GL PCIe5 1000W (80 Plus Gold) chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.",,,,,MSI,,,,,,,,,,,,,,,,,,1000W,1 x Fan 13.5 cm,80 Plus Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://cellphones.com.vn/cpu-intel-core-ultra-u5-245k.html,CPU Intel Core Ultra 5 245K,Intel,Liên hệ,CPU.IT.81,"Mua CPU Intel Core Ultra U5 245K chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.",,,,,Intel,,,,,Intel,FCLGA1851,,,,,,,,,,,,,,,,,,,,,,,,,Core Ultra 5,Intel thế hệ 14,14,14,3.6 GHz - 5.2 GHz,L1: 24 MBL2: 26 MB,5.0 và 4.0,Intel Graphics,125 W (Tối đa 159 W),Công nghệ Intel GNA 3.5Công nghệ Intel® Thread DirectorCông nghệ Intel® Turbo Boost 2.0Intel® 64Công nghệ Intel® AI Boost,,,Intel AI Boost (13 TOPS),TSMC N3B,,,,,,,,,,,,,,,,,
https://cellphones.com.vn/mainboard-asrock-z890-pro-rs-wifi-d5.html,Mainboard ASRock Z890 Pro RS Wifi D5,ASRock,Liên hệ,MB.AR.43,"Mua Mainboard ASRock Z890 Pro RS Wifi D5 chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.",,,,ATX,ASRock,,,,,Intel,LGA 1851,4,DDR5,256GB,"CPU: 2 x Thunderbolt 4 Type-C (Phía sau)  Chipset: 1 x USB 3.2 Gen2x2 Type-C (Phía trước) 2 x USB 3.2 Gen2 Type-A (Phía sau) 8 x USB 3.2 Gen1 (4 phía sau, 4 phía trước) 6 x USB 2.0 (2 phía sau, 4 phía trước)",2.5 Gigabit LAN 10/100/1000/2500 Mb/giâyHỗ trợ phần mềm Dragon 2.5G LAN,Âm thanh HD 7.1 kênh (Realtek ALC897 Codec)Hỗ trợ Nahimic Audio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://cellphones.com.vn/case-may-tinh-jetek-csgo2-wukong-m-atx.html,Case máy tính Jetek CSGO2 WuKong M-ATX No Fan,Jetek,Liên hệ,case-may-tinh-jetek-csgo2-wukong-m-atx,"Mua Case máy tính Corsair iCUE Link 3500X RGB chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, bảo hành uy tín, giao hàng tận nơi toàn quốc.",Mid Tower,Trên: 2 x 12cmBo mạch chủ: 2 x 12cmĐáy: 2 x 12cmPhía sau: 1 x 12cm,4 khe,339 x 270 x 375 mm,Jetek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thép + Kính cường lực,,,1 x USB 3.01 x USB 1.01 x 3.5mm Mic Jack1 x 3.5mm Audio Jack1 x Nút Reset,,,,,,,,,,,,,,,,
https://cellphones.com.vn/vga-msi-geforce-rtx-5050-8gb-shadow-2x-oc.html,VGA MSI GeForce RTX 5050 8GB Shadow 2X OC,MSI,Liên hệ,VGA.MSI.69,"Mua VGA MSI GeForce RTX 5050 8GB Shadow 2X OC chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.",,,,,MSI,,,,,NVIDIA,,,,,,,,,,8GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GDDR6,128-bit,NVIDIA GeForce RTX 5050,Boost: 2602 MHzExtreme Performance: 2617 MHz,PCI Express® Gen 5 x16,2560 CUDA,2 quạt,8-pin x 1,550W,,,,,,,
https://cellphones.com.vn/mainboard-msi-pro-b760m-e-ddr4.html,Mainboard MSI Pro B760M-E DDR4,MSI,Liên hệ,MB.MSI.04,"Mua Mainboard MSI Pro B760M-E DDR4 chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.",,,,M-ATX,MSI,,,,,Intel,LGA 1700,2,DDR4,64GB,,Realtek ® RTL8111H Gigabit LAN,Realtek ® ALC897 CodecÂm thanh độ phân giải cao 7.1 kênh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://cellphones.com.vn/ram-pc-gskill-trident-z5-rgb-16gb-ddr5-6000mhz-f5-6000j3636f16gx1-tz5rk.html,RAM PC GSkill Trident Z5 RGB DDR5 6000Mhz 16GB (1*16GB) F5-6000J3636F16GX1-TZ5RK đen,G.SKILL,Liên hệ,R.SK.05,"Mua RAM PC GSkill Trident Z5 RGB DDR5 6000Mhz 16GB (1*16GB) F5-6000J3636F16GX1-TZ5RK đen chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.",,,,,G.SKILL,,,,,,,,,,,,,,,16GB,,,,,,,,,DDR5,6000MHz,"DIMM (PC, Desktop)",36-36-36-96,1.10V,Hỗ trợ LED,0°C tới +85°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://cellphones.com.vn/ram-pc-transcend-ddr5-4800mhz-16gb-jm4800ale-16g.html,Ram PC Transcend DDR5 4800MHz 16GB JM4800ALE-16G,Transcend,Liên hệ,R.TC.11,"Mua Ram PC Transcend DDR5 4800MHz 16GB JM4800ALE-16G chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.",,,,,Transcend,,,,,,,,,,,,,,,16GB,,,,,,,,,DDR5,4800MHz,"DIMM (PC, Desktop)",CL40,1.1V,Không hỗ trợ LED,0 ~ 85°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://cellphones.com.vn/ram-pc-corsair-vengeance-rgb-16gb-ddr5-6000mhz.html,Ram PC Corsair Vengeance RGB DDR5 6000MHz 16GB (1*16GB),Corsair,Liên hệ,ram-pc-corsair-vengeance-rgb-16gb-ddr5-6000mhz,"Mua Ram PC Corsair Vengeance RGB DDR5 6000MHz 16GB (1*16GB) chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.",,,,,Corsair,,,,,,,,,,,,,,,16GB,,,,,,,,,DDR5,6000MHz,"DIMM (PC, Desktop)",36-44-44-96,1.1 - 1.35V,Hỗ trợ LED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://cellphones.com.vn/o-cung-di-dong-ssd-kingston-xs2000-usb-3-2-gen-2x2-chong-nuoc-ip55-4tb.html,Ổ cứng di động SSD Kingston XS2000 USB 3.2 Gen 2x2 chống nước IP55 4TB,Kingston,Liên hệ,OC.KS.08.SKU,"Mua Ổ cứng di động SSD Kingston XS2000 USB 3.2 Gen 2x2 chống nước IP55 4TB chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.",,,,,Kingston,,,,USB 3.2 Gen 2x2,,,,,,,,,SSD,,,2000 MB/s,"Windows 11, 10, 8.1 macOS (v.10.14.x +) Linux (v. 2.6.x +) Chrome OS",,,,4TB,Kim loại + nhựa,Chống nước IP55Công nghệ NAND FlashChống rơi vỡ ở độ cao lên tới 1.8 mét,,,,,,,,,,,,,,,,,,2000 MB/s,,,,,,,,,,,,,,,,,,,,
https://cellphones.com.vn/o-cung-ssd-adata-legend-860-1tb.html,Ổ cứng SSD ADATA LEGEND 860 PCIE GEN4 X4 M.2 2280 (R 6000/W 5000) 1TB,ADATA,Liên hệ,OC.AD.33,"Mua Ổ cứng SSD ADATA LEGEND 860 PCIE GEN4 X4 M.2 2280 (R 6000/W 5000) 1TB chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.",,,,,ADATA,,,,,,,,,,,,,SSD,M2 PCIe,1TB,6.000 MB/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://cellphones.com.vn/ram-adata-xpg-lancer-rgb-16gb-6000mhz-ddr5-ax5u6000c3016g-clarwh.html,Ram PC ADATA XPG LANCER RGB 16GB (1x16GB) 6000MHz DDR5,ADATA,Liên hệ,R.AD.24,"Mua Ram PC ADATA XPG LANCER RGB 16GB (1x16GB) 6000MHz DDR5 chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.",,,,,ADATA,,,,,,,,,,,,,,,16GB,,,,,,,,,DDR4,6000MHz,"DIMM (PC, Desktop)",30-40,1.25V - 1.4V,Hỗ trợ LED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://cellphones.com.vn/o-cung-di-dong-sandisk-e81-extreme-pro-v2-ssd-1tb-usb-3-2.html,Ổ cứng di động Sandisk E81 Extreme Pro V2 SSD 1TB USB 3.2,Sandisk,Liên hệ,OC.SD.01,"Mua Ổ cứng di động Sandisk E81 Extreme Pro V2 SSD 1TB USB 3.2 chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.",,,,,Sandisk,,,,USB 3.2,,,,,,,,,SSD,,,2000 MB/s,Windows 10/11 MacOS Linux iOS/iPadOS Android,,,,1TB,,Chống nước IP65 Bảo mật AES 256-bit Encryption,,,,,,,,,,,,,,,,,,2000 MB/s,,,,,,,,,,,,,,,,,,,,
https://cellphones.com.vn/o-cung-ssd-patriot-1tb-p400-lite-m-2-nvme-pcie-gen4-x4.html,Ổ cứng SSD Patriot P400 Lite M.2 PCIe Gen 4x4 NVMe 1TB,Patriot,Liên hệ,OC.PT.08,"Mua Ổ cứng SSD Patriot P400 Lite M.2 PCIe Gen 4x4 NVMe 1TB chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.",,,,,Patriot,,,,,,,,,,,,,SSD,M2 PCIe,1TB,3500 MB/s,Windows 7*/8*/8.1/10 (*có thể yêu cầu driver),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://cellphones.com.vn/cpu-intel-core-i5-13400f-tray.html,CPU Intel Core i5 13400F (Tray),Intel,Liên hệ,CPU.IT.110,"Mua CPU Intel Core i5 13400F (Tray) chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.",,,,,Intel,,,,,Intel,LGA 1700,,,,,,,,,,,,,,,,,,,,,,,,,Core i5,Intel thế hệ 13,10,16,2.5 - 4.6 GHz,L1: 20 MBL2: 9.5 MB,4.0 và 5.0,,65W (Tối đa 148W),Intel Thread DirectorIntel Turbo Boost 2.0Intel SpeedStep nâng caoCông nghệ theo dõi nhiệtCông Nghệ Intel Speed Shift,,,,,,,,,,,,,,,,,,,,,
https://cellphones.com.vn/o-cung-di-dong-ssd-lexar-sl600-usb-3-2-1tb.html,Ổ cứng di động SSD Lexar SL600 USB 3.2 1TB,LEXAR,Liên hệ,OC.LX.26,"Mua Ổ cứng di động SSD Lexar SL600 USB 3.2 1TB chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.",,,,,LEXAR,,,,USB 3.2 Gen2x2,,,,,,,,,SSD,,,2000MB/s,Mac OSX 10.6+ Windows 11/10/7/8 Android 4.4+,,,,1TB,Vỏ nhôm,Mã hóa AES 256-bit,,,,,,,,,,,,,,,,,,2000MB/s,,,,,,,,,,,,,,,,,,,,
https://cellphones.com.vn/cpu-intel-core-i3-14100-tray.html,CPU Intel Core i3 14100 (Tray),Intel,Liên hệ,CPU.IT.103,"Mua CPU Intel Core i3 14100 (Tray) chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.",,,,,Intel,,,,,Intel,FCLGA1700,,,,,,,,,,,,,,,,,,,,,,,,,Core i3,Intel thế hệ 13,4,8,3.5 GHz - 4.7 GHz,L1: 12 MBL2: 5 MB,4.05.0,Intel® UHD Graphics 730,60 W (Tối đa 110 W),Intel® 64Công nghệ theo dõi nhiệtCông Nghệ Intel® Speed ShiftCông nghệ Intel® Turbo Boost 2.0Công nghệ siêu Phân luồng IntelCông nghệ Intel SpeedStep® nâng caoIntel® Gaussian &amp; Neural Accelerator 3.0,,,,,,,,,,,,,,,,,,,,,
