url,ten_san_pham,thuong_hieu,gia_ban,sku,mo_ta_ngan,Kích thước thực tế (bao gồm viền),Tấm nền,Tỉ lệ màn hình,Tần số quét,Thời gian phản hồi,Treo tường,Cổng kết nối,Kích thước,Trọng lượng,Độ phân giải màn hình,Độ tương phản động,Tính năng khác,Chuẩn VESA,Góc xoay dọc,Góc xoay ngang,Kích cỡ màn hình hỗ trợ,Tải trọng màn hình tối đa,Hãng sản xuất,Góc lật màn hình,Độ dày bàn phù hợp,Cổng giao tiếp,Kích thước màn hình
https://cellphones.com.vn/man-hinh-philips-24e1n33000a-24-inch.html,Màn hình Philips 24E1N33000A 24 inch,Philips,Liên hệ,MH.PL.001,"Mua Màn hình Philips 24E1N33000A 24 inch chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ trả góp 0%, giao hàng miễn phí toàn quốc.",24 inches,IPS,16:9,75 Hz,1ms,100 x 100 mm," HDMI 1.4, USB-C 3.2 Gen 1 (Sạc ngược 65W),USB 3.2 x 4",Có chân đế: 540 x 417 x 183 mmKhông chân đế: 540 x 321 x 43 mm,Có chân đế: 4.12 kgKhông chân đế:  2.7 kg,1920 x 1080,,,,,,,,,,,,
https://cellphones.com.vn/man-hinh-msi-mp251-e2-25-inch-120hz.html,Màn hình MSI MP251 E2 25 inch 120Hz,MSI,Liên hệ,MH.MSI.46,"Mua Màn hình MSI MP251 E2 25 inch 120Hz chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ trả góp 0%, giao hàng miễn phí toàn quốc.",24.5 inches,IPS,16:9,120 Hz,1ms,100 x 100 mm,1x HDMI (2.0) 1x DP (1.4a) 1x D-Sub (VGA) 1x Headphone-out 1x Line-in,Có chân đế: 556.89 x 188.2 x 413.91 mm (Rộng x Sâu x Cao) Không có chân đế: 556.89 x 42.94 x 321.49 mm (Rộng x Sâu x Cao),2.7 kg / 4.9 kg,1920 x 1080 pixels,1500:1,,,,,,,,,,,
https://cellphones.com.vn/man-hinh-lenovo-l24i-4a-24-inch-67bckac6vn.html,Màn hình Lenovo L24I-4A 24 inch 67BCKAC6VN,Lenovo,Liên hệ,MH.LNV.11,"Mua Màn hình Lenovo L24I-4A 24 inch 67BCKAC6VN chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ trả góp 0%, giao hàng miễn phí toàn quốc.",24 inches,IPS,16:9,100 Hz,1ms,100 x 100 mm,"1x HDMI 1.4, 1x VGA",Có chân đế: 539.4 x 182.9 x 433.8 mm Không có chân đế: 539.4 x 41.0 x 315.2 mm,Có chân đế: 3.84 kg Không có chân đế: 3.01 kg,"1920 x 1080 pixels, 93 dpi",1500:1,,,,,,,,,,,
https://cellphones.com.vn/man-hinh-gaming-msi-mag-272f-x24-27-inch.html,Màn hình Gaming MSI MAG 272F X24 27 inch,MSI,Liên hệ,MH.MSI.95,"Mua Màn hình Gaming MSI MAG 272F X24 27 inch chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ trả góp 0%, giao hàng miễn phí toàn quốc.",27 inches,IPS,16:9,240 Hz,0.5ms,100 x 100 mm,2x HDMI 2.0b (FHD@240Hz) 1x DisplayPort 1.2a 1x Headphone-out,Có chân đế: 612.6 x 249.7 x 439.9 mmKhông chân đế: 612.6 x 51.8 x 364.8 mm,Có chân đế: 6.2 kgKhông chân đế: 3.9 kg,1920 x 1080 pixels,100000000:1,,,,,,,,,,,
https://cellphones.com.vn/man-hinh-samsung-odyssey-g7-g70f-ls27fg702eexxv-27-inch.html,Màn hình Gaming Samsung Odyssey G7 G70F LS27FG702EEXXV 27 inch,Samsung,Liên hệ,MH.SS.124,"Mua Màn hình Gaming Samsung Odyssey G7 G70F LS27FG702EEXXV 27 inch chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ trả góp 0%, giao hàng miễn phí toàn quốc.",27 inches,IPS,16:9,180 Hz,1ms,100 x 100 mm,1 x DisplayPort 1.4 (HDCP 2.2) 2 x HDMI 2.1 (HDCP 2.2) 1 x Cổng tai nghe 3.5mm 1 x USB-B Upstream 2 x USB-A Downstream (USB 3.2 Gen 1),Có chân đế: 613 x 553.2 x 263.5 mmKhông có chân đế: 613 x 361.5 x 73.8 mm,Có chân đế: 7.1 kgKhông có chân đế: 3.9 kg,3840 x 2160 pixels,,,,,,,,,,,,
https://cellphones.com.vn/man-hinh-vsp-ip2705f-27-inch.html,Màn hình VSP IP2705F 27 inch,VSP,Liên hệ,MH.VSP.10,"Mua Màn hình VSP IP2705F 27 inch chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ trả góp 0%, giao hàng miễn phí toàn quốc.",27 inches,IPS,16:9,120 Hz,1ms,100 x 100 mm,1 x HDMI 1.4 1 x VGA,Có chân đế: 615 x 454 x 201 mm,3.7 Kg,1920 x 1080 pixels,"1,000,000:1",,,,,,,,,,,
https://cellphones.com.vn/man-hinh-xiaomi-a27i-2026-27-inch.html,Màn hình Xiaomi A27I 2026 27 inch,Xiaomi,Liên hệ,MH.X.25,"Mua Màn hình Xiaomi A27I 2026 27 inch chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ trả góp 0%, giao hàng miễn phí toàn quốc.",27 inches,IPS,16:9,144 Hz,6ms,75 x 75 mm,1 x Cổng DP 1.4  1 x Cổng HDMI 2.0  1 x Cổng nguồn DC IN,611.3 x 170.0 x 474.6mm,3.9 kg,1920 x 1080 pixels,,,,,,,,,,,,
https://cellphones.com.vn/man-hinh-philips-27e1n1800a-27-inch.html,Màn hình Philips 27E1N1800A 27 inch,Philips,Liên hệ,MH.PL.43,"Mua Màn hình Philips 27E1N1800A 27 inch chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ trả góp 0%, giao hàng miễn phí toàn quốc.",27 inches,IPS,16:9,60 Hz,4ms,100 x 100 mm,2x HDMI2.0 1x DisplayPort1.4,Không chân đế: 613 x 365 x 54 mmCó chân đế: 613 x 465 x 211 mm,Không chân đế: 3.92 kgCó chân đế: 4.35 kg,3840 x 2160 pixels,,,,,,,,,,,,
https://cellphones.com.vn/man-hinh-e-dra-egm27f144pv.html,Màn hình E-DRA EGM27F144PV 27 inch,E-DRA,Liên hệ,MH.ED.41,"Mua Màn hình E-DRA EGM27F144PV 27 inch chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ trả góp 0%, giao hàng miễn phí toàn quốc.",27 inches,IPS,16:9,144 Hz,1ms,100 x 100 mm,1 x HDMI 1 x D-Sub + DC,,4.1 kg,1920 x 1080 pixels,,,,,,,,,,,,
https://cellphones.com.vn/man-hinh-acer-ka272-g0-27-inch.html,Màn hình Acer KA272 G0 27 inch,Acer,Liên hệ,MH.AC.16,"Mua Màn hình Acer KA272 G0 27 inch chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ trả góp 0%, giao hàng miễn phí toàn quốc.",27 inches,IPS,16:9,120 Hz,1ms,,"VGA, HDMI 1.4",,,1920 × 1080 pixels,,,,,,,,,,,,
https://cellphones.com.vn/man-hinh-msi-pro-mp242l-24-inch.html,Màn hình MSI Pro MP242L 24 inch,MSI,Liên hệ,MH.MSI.63,"Mua Màn hình MSI Pro MP242L 24 inch chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ trả góp 0%, giao hàng miễn phí toàn quốc.",24 inches,IPS,16:9,100 Hz,1ms,,1 x HDMI 1.4b 1 x DisplayPort 1.2a 1 x Headphone-out,,,1920 x 1080 pixels,,,,,,,,,,,,
https://cellphones.com.vn/man-hinh-di-dong-asus-zenscreen-mb169ck-16-inch.html,Màn hình di động ASUS ZenScreen MB169CK 16 inch,Lenovo,Liên hệ,MH.AS.77,"Mua Màn hình di động ASUS ZenScreen MB169CK 16 inch chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ trả góp 0%, giao hàng miễn phí toàn quốc.",16 inches,IPS,16:9,60 Hz,5ms,,1x Mini HDMI, Kích thước vật lý không kèm kệ: 36.0 x 22.6 x 1.2 cm,Không có chân đế :0.78 kg Trọng lượng thô :1.70 kg,1920 x 1080 pixels,,,,,,,,,,,,
https://cellphones.com.vn/man-hinh-asus-tuf-vg34wqml5a-34-inch.html,Màn hình cong gaming ASUS TUF VG34WQML5A 34 inch,ASUS,Liên hệ,MH.AS.112,"Mua Màn hình cong gaming ASUS TUF VG34WQML5A 34 inch chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ trả góp 0%, giao hàng miễn phí toàn quốc.",34 inches,VA,21:9,250 Hz,0.2ms,100 x 100 mm,2 x DisplayPort 1.4 2 x HDMI 2.1 (FRL) USB Hub: 3 x USB 3.2 Gen 1 Type-A Jack tai nghe,Không chân đế: 80.78 x 36.39 x 11.10 cm Có chân đế: 80.78 x 54.06 x 25.00 cm,Không chân đế: 5.8 kg Có chân đế: 8.1 kg,3440 x 1440 pixels,,,,,,,,,,,,
https://cellphones.com.vn/man-hinh-dahua-lm25-e231-25-inch.html,Màn hình Dahua LM25-E231 25 inch,Dahua,Liên hệ,MH.DH.08,"Mua Màn hình Dahua LM25-E231 25 inch chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ trả góp 0%, giao hàng miễn phí toàn quốc.",25 inches,IPS,16:9,180 Hz,5ms,100 x 100 mm,1x DP 1.4 1x HDMI 2.0 1x USB (only upgrade) 1x Audio out,,4.7 kg,1920 x 1080 pixels,,,,,,,,,,,,
https://cellphones.com.vn/man-hinh-gaming-lg-ultragear-oled-32gs95uv-b-32-inch.html,Màn hình Gaming LG UltraGear OLED 32GS95UV-B 32 inch,LG,Liên hệ,MH.LG.86,"Mua Màn hình Gaming LG UltraGear OLED 32GS95UV-B 32 inch chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ trả góp 0%, giao hàng miễn phí toàn quốc.",32 inches,OLED,,480 Hz,0.03ms,,HDMIDisplayPortĐầu ra tai nghe,Kích thước khi vận chuyển: 973 x 183 x 544 mm,Trọng lượng khi vận chuyển: 13.9 kg,3840 x 2160 pixels,,,,,,,,,,,,
https://cellphones.com.vn/man-hinh-gaming-msi-mag-245f-x24-24-inch.html,Màn hình Gaming MSI MAG 245F X24 24 inch,MSI,Liên hệ,MH.MSI.91,"Mua Màn hình Gaming MSI MAG 245F X24 24 inch chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ trả góp 0%, giao hàng miễn phí toàn quốc.",24 inches,IPS,16:9,240 Hz,0.5ms,100 x 100 mm,2x HDMI 2.0b (FHD@240Hz) 1x DisplayPort 1.2a 1x Headphone-out,Có chân đế: 538.9 x 220 x 411.6 mmKhông có chân đế: 538.9 x 56.9 x 318.8 mm,3.25 kg / 5.32 kg,1920 x 1080 pixels,100000000:1,,,,,,,,,,,
https://cellphones.com.vn/gia-treo-man-hinh-may-tinh-e-dra-ema7310.html,Giá treo màn hình máy tính E-DRA EMA7310 13-32&quot;,E-dra,Liên hệ,gia-treo-man-hinh-may-tinh-e-dra-ema7310,"Mua Giá treo màn hình máy tính E-DRA EMA7310 13-32&quot; chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.",,,,,,,,,,,,,"75 x 75 mm, 100 x 100 mm",360 độ,180 độ,,2 - 10 kg,E-dra,,,,
https://cellphones.com.vn/man-hinh-viewsonic-va2732-h-2-27-inch.html,Màn hình ViewSonic VA2732-H-2 27 inch,ViewSonic,Liên hệ,MH.VS.92,"Mua Màn hình ViewSonic VA2732-H-2 27 inch chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ trả góp 0%, giao hàng miễn phí toàn quốc.",27 inches,IPS,16:9,100 Hz,1ms,100 x 100 mm,1 x VGA 1 x HDMI 1.4 1 x Cổng nguồn DC (Center Positive),Không chân đế: 615 x 363.8 x 46 mm Có chân đế: 24.21 x 18.06 x 8.86 mm,Không chân đế: 3.6 kg Có chân đế: 4.1 kg,1920 x 1080 pixels,50M:1,,,,,,,,,,,
https://cellphones.com.vn/gia-treo-man-hinh-hyperwork-p1-dual-22-34-inch.html,Giá treo màn hình HyperWork P1 Dual 22-34 inch,HyperWork,Liên hệ,GT.HW.03.B,"Mua Giá treo màn hình HyperWork P1 Dual 22-34 inch chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.",,,,,,,,,,,,"Có thể điều chỉnh kháng lực Tích hợp khay đế làm giá đỡ điện thoạiCông nghệ trợ lực piston bền bỉ, chuyển động mượt màKhoảng cách tối đa giữa 2 tay đòn: 100 cm","75 x 75 mm, 100 x 100 mm",Xoay màn hình: +180° ~ -180°,,22 - 34 inch,2 - 9 kg/màn,HyperWork,"Góc lật màn (úp, ngửa): +90° ~ -35° Góc nghiêng màn (trái, phải): +90° ~ -90°",,,
https://cellphones.com.vn/man-hinh-lg-ultragear-oled-39gx90sa-w-39-inch.html,Màn hình Gaming LG UltraGear OLED 39GX90SA-W 39 inch,LG,Liên hệ,MH.LG.112,"Mua Màn hình Gaming LG UltraGear OLED 39GX90SA-W 39 inch chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ trả góp 0%, giao hàng miễn phí toàn quốc.",39 inches,OLED,21:9,240 Hz,0.03ms,100 x 100 mm,"2 × USB 2.0 (Downstream) 1 × DisplayPort 1.4 (HDCP 2.3) 1 × USB-C (Upstream, hỗ trợ truyền dữ liệu và sạc Power Delivery 65W) 2 × HDMI (phiên bản 2.1) 1 × Cổng LAN (RJ-45) 1 × Jack tai nghe",Có chân đế: 88.7 × 60.5 × 32.3 cm Không chân đế: 88.7 × 40.4 × 19.8 cm,Có chân đế: 11.43 kg Không chân đế: 7.30 kg,3440 x 1440 pixels,,,,,,,,,,,,
https://cellphones.com.vn/man-hinh-e-dra-egm27q100p-27-inch.html,Màn hình E-DRA EGM27Q100P 27 inch,E-DRA,Liên hệ,MH.ED.37,"Mua Màn hình E-DRA EGM27Q100P 27 inch chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ trả góp 0%, giao hàng miễn phí toàn quốc.",27 inches,IPS,16:9,100 Hz,1ms,100 x 100 mm,1 x HDMI + DC,800 x 116 x 420 mm (Vỏ hộp),4.8 kg,2560 x 1440 pixels,,,,,,,,,,,,
https://cellphones.com.vn/gia-treo-man-hinh-hyperwork-flexus-pa01.html,Giá treo màn hình HyperWork Flexus PA01,HyperWork,Liên hệ,GT.HW.08.B,"Mua Giá treo màn hình HyperWork Flexus PA01 chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.",,,,,,,,,,,,,"75 x 75 mm, 100 x 100 mm",+90° ~ -90°,,22 - 38 inch,3 - 11 kg,HyperWork,"+60° ~ -60°Góc nghiêng màn (trái, phải) +90° ~ -90°",10-80 mm (kẹp bàn) hoặc 10-35 mm (khoan bàn),,
https://cellphones.com.vn/man-hinh-lg-24u631a-b-24-inch.html,Màn hình LG 24U631A-B 24 inch,LG,Liên hệ,MH.LG.99,"Mua Màn hình LG 24U631A-B 24 inch chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ trả góp 0%, giao hàng miễn phí toàn quốc.",24 inches,IPS,16:9,100 Hz,5ms,100 x 100 mm,HDMI Headphone out 3-pole (Sound Only)USB-C (Power Delivery) 15W,Có chân đế: 539.4 x 413.6 x 215 mm Không chân đế: 539.4 x 321.3 x 45.7 mm,Có chân đế: 3.6 kg Không chân đế: 2.8 kg,2560 x 1440 pixels,,,,,,,,,,,,
https://cellphones.com.vn/man-hinh-gaming-asus-tuf-vg259q5a-25-inch.html,Màn hình Gaming ASUS TUF VG259Q5A 25 inch,ASUS,Liên hệ,MH.AS.87,"Mua ngay Màn hình Gaming ASUS TUF VG259Q5A 25 inch giá rẻ - Hỗ trợ trả góp 0%, đổi mới 30 ngày, bảo hành chính hãng, giao hàng tận nơi miễn phí.",25 inches,IPS,16:9,200 Hz,0.3ms,100 x 100 mm,1x DisplayPort 1.4 (HBR2) 2x HDMI(v2.0) Giắc cắm tai nghe,Có chân đế: 55.9 x 40.1 x 17.4 cm Không chân đế: 55.9 x 32.9 x 6.2 cm ,Có chân đế: 3.4 kg Không chân đế: 2.9 kg,1920 x 1080 pixels,,,,,,,,,,,,
https://cellphones.com.vn/man-hinh-gaming-asus-tuf-vg279qm5a-27-inch.html,Màn hình Gaming ASUS TUF VG279QM5A 27 inch,ASUS,Liên hệ,MH.AS.92,"Mua Màn hình Gaming ASUS TUF VG279QM5A 27 inch chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ trả góp 0%, giao hàng miễn phí toàn quốc.",27 inches,IPS,16:9,240 Hz,0.3ms,100 x 100 mm,DisplayPort 1.4 x 1 (HBR2) HDMI(v2.0) x 2 Earphone Jack ,Có chân đế: 61.50 x 45.30 x 19.30 cm Không chân đế: 61.50 x 36.90 x 5.90 cm,Có chân đế: 4.5 kg Không chân đế: 3.7 kg,1920 x 1080 pixels,,,,,,,,,,,,
https://cellphones.com.vn/man-hinh-msi-pro-mp273l-e14-27-inch.html,Màn hình MSI Pro MP273L E14 27 inch,MSI,Liên hệ,MH.MSI.94,"Mua Màn hình MSI Pro MP273L E14 27 inch chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ trả góp 0%, giao hàng miễn phí toàn quốc.",27 inches,IPS,16:9,144 Hz,1ms,100 x 100 mm,1x HDMI 2.0 (FHD@144Hz) 1x D-Sub (VGA),Có chân đế: 613.49 x 201.00 x 437.52 mmKhông chân đế: 613.49 x 49.69 x 362.46 mm,Có chân đế: 6.55 kgKhông chân đế: 4.05 kg,1920 x 1080 pixels,,,,,,,,,,,,
https://cellphones.com.vn/man-hinh-samsung-ls27f320gaexxv-27-inch.html,Màn hình Samsung LS27F320GAEXXV 27 inch,Samsung,Liên hệ,MH.SS.102,"Mua Màn hình Samsung LS24F320GAEXXV 24 inch chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ trả góp 0%, giao hàng miễn phí toàn quốc.",27 inches,IPS,16:9,120 Hz,5ms,100 x 100 mm,HDMI 2 EA HDMI 1.4,Có chân đế: 612.7 x 470.0 x 200.4 mmKhông có chân đế: 612.7 x 360.9 x 36.2 mm,Có chân đế: 3.0 kgKhông có chân đế: 2.5 kg,1920 x 1080 pixels,,,,,,,,,,,,
https://cellphones.com.vn/man-hinh-viewsonic-va2732-h-27-inch.html,Màn hình ViewSonic VA2732-H 27 inch,ViewSonic,Liên hệ,MH.VS.009,"MuaMàn hình ViewSonic VA2732-H 27 inch chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ trả góp 0%, giao hàng miễn phí toàn quốc.",27 inches,IPS,16:9,75 Hz,4ms,100 x 100 mm,"VGA, HDMI 1.4",Có chân đế: 615 x 458 x 225 mmKhông chân đế: 615 x 364 x 46 mm,Có chân đế: 4.1 kgKhông chân đế: 3.6 kg,1920 x 1080,50M : 1,,,,,,,,,,,
https://cellphones.com.vn/man-hinh-vsp-ip2704s-27-inch.html,Màn hình VSP IP2704S 27 inch,VSP,Liên hệ,MH.VSP.5,"Mua Màn hình VSP IP2704S 27 inch chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ trả góp 0%, giao hàng miễn phí toàn quốc.",27 inches,IPS,16:9,100 Hz,1ms,75 x 75 mm,1 x VGA 1 x HDMI 1.4 1 x Audio Out,Có chân đế: 613.19 x 448.54 x 201.08 mm Không chân đế: 613.19 x 362.89 x 52.74 mm,3.5 kg,1920 x 1080 pixels,"1,000,000:1",,,,,,,,,,,
https://cellphones.com.vn/man-hinh-gaming-philips-27m2n3500pf-27-inch.html,Màn hình Gaming Philips 27M2N3500PF 27 inch,Philips,Liên hệ,MH.PL.36,"Mua Màn hình Gaming Philips 27M2N3500PF 27 inch chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ trả góp 0%, giao hàng miễn phí toàn quốc.",27 inches,IPS,16:9,260 Hz,0.3ms,,"HDMI 2.0 x 2, DisplayPort 1.4 x 1, Cổng ra tai nghe",Không chân đế: 614 x 368 x 60 mmCó chân đế: 614 x 462 x 215 mm,Không chân đế: 3.69 kgCó chân đế: 4.25 kg,2560 x 1440 pixels,,,,,,,,,,,,
