url,ten_san_pham,thuong_hieu,gia_ban,sku,mo_ta_ngan,Loại card đồ họa,Dung lượng RAM,Loại RAM,Số khe ram,Ổ cứng,Kích thước màn hình,Công nghệ màn hình,Pin,Hệ điều hành,Độ phân giải màn hình,Loại CPU,Cổng giao tiếp,Chip AI,Socket,Treo tường,Tính năng khác
https://cellphones.com.vn/laptop-asus-flip-br1100fka-bp0531t.html,Laptop ASUS Flip BR1100FKA-BP0531T,ASUS,Liên hệ,laptop-asus-flip-br1100fka-bp0531t,"Mua ngay Laptop ASUS Flip BR1100FKA-BP0531T giá rẻ - Hỗ trợ trả góp 0%, đổi mới 30 ngày, bảo hành chính hãng, giao hàng tận nơi miễn phí.",Intel UHD Graphics,4GB,DDR4,,eMMC 128 GB,11.6 inches,Anti-glare LED-backlit,Lithium-ion 3 Cell,Windows 10,1920 x 1080 pixels (FullHD),Intel Celeron N4500,1 DC-in jack1 HDMI1 Jack 3.5 mm1 Type C1 USB 2.01 USB 3.01 VGA,,,,
https://cellphones.com.vn/laptop-lenovo-ideapad-slim-3-14irh10-83k00008vn.html,Laptop Lenovo IdeaPad Slim 3 14IRH10 83K00008VN,Lenovo,Liên hệ,laptop-lenovo-ideapad-slim-3-14irh10-83k00008vn,"Mua ngay Laptop Lenovo IdeaPad Slim 3 14IRH10 83K00008VN giá rẻ - Hỗ trợ trả góp 0%, đổi mới 30 ngày, bảo hành chính hãng, giao hàng tận nơi miễn phí.",Intel UHD Graphics,16GB,DDR5-4800,"2 khe (8GB Onboard + 8GB DDR5-4800, nâng cấp tối đa 24GB (8GB Onboard + 16GB SO-DIMM))","512GB SSD M.2 2242 PCIe 4.0x4 NVMe (Tối đa hai ổ đĩa, nâng cấp lên đến 1TB)",14 inches,Độ sáng 300nits Màn hình chống chóiĐộ phủ màu 45% NTSC,60Wh (Đầu tròn 65W (3 chân),"Windows 11 Home Single Language, English",1920 x 1200 pixels (WUXGA),"Intel Core i5-13420H, 8 lõi (4P + 4E) / 12 luồng, P-core 2.1 / 4.6GHz, E-core 1.5 / 3.4GHz, 12MB","2x USB-A (USB 5Gbps / USB 3.2 Gen 1) 1x USB-C (USB 5Gbps / USB 3.2 Gen 1), với USB PD 3.0 và DisplayPort 1.2 1x HDMI 1.4 1x giắc cắm kết hợp tai nghe / micrô (3,5 mm) 1x đầu đọc thẻ SD 1x đầu nối nguồn",,,,
https://cellphones.com.vn/laptop-dell-15-dc15250-79n4m.html,Laptop Dell 15 DC15250 79N4M - Nhập khẩu chính hãng,Dell,Liên hệ,laptop-dell-15-dc15250-79n4m,"Mua ngay Laptop Dell 15 DC15250 79N4M giá rẻ - Hỗ trợ trả góp 0%, đổi mới 30 ngày, bảo hành chính hãng, giao hàng tận nơi miễn phí.",Intel Graphics,16GB,DDR4,"2 khe (2 x 8GB, nâng cấp tối đa 16GB)",512GB SSD,15.6 inches,Độ phủ màu 45% NTSCĐộ sáng 250 nitsMàn hình chống chói,"3 cell, 41Wh",Windows 11,1920 x 1080 pixels (FullHD),Intel Core 3-100U,Thẻ SD / Cổng USB 2.0 / Cổng âm thanh đa năng / Cổng HDMI 1.4 / Cổng USB 3.2 thế hệ 1 / USB loại C,,,,
https://cellphones.com.vn/laptop-hp-omnibook-x-flip-14-fk0082au-bz7n8pa-ryzen-ai-7.html,Laptop HP Omnibook X Flip 14-FK0082AU BZ7N8PA,HP,Liên hệ,laptop-hp-omnibook-x-flip-14-fk0082au-bz7n8pa-ryzen-ai-7,"Mua ngay Laptop HP Omnibook X Flip 14-FK0082AU BZ7N8PA giá rẻ - Hỗ trợ trả góp 0%, đổi mới 30 ngày, bảo hành chính hãng, giao hàng tận nơi miễn phí.",AMD Radeon 860M Graphics,32GB,LPDDR5x-7500 MT/s (onboard),,1 TB PCIe Gen4 NVMe M.2 SSD,14 inches,Màn hình cảm ứng đa điểm Kính phủ tràn cạnh edge-to-edge Viền mỏng micro-edge Kính Corning Gorilla Glass 3 Độ sáng 400 nits Độ phủ màu 62.5% sRGB,"3-cell, 59 Wh Li-ion polymerBộ đổi nguồn USB Type-C 65 WHỗ trợ sạc pin nhanh: khoảng 50% trong 30 phút",Windows 11 Home Single Language + Office,1920 x 1200 pixels (WUXGA),"AMD Ryzen AI 7 350 (up to 5.0 GHz max boost clock,16 MB L3 cache, 8 lõi,16 luồng)","2x USB Type-A 10 Gbps 1x HDMI 2.1 1x combo tai nghe/micrô 1x USB Type-C 10 Gbps (USB sạc nhanh 3.1, DisplayPort 2.1, HP Sleep and Charge) 1x USB Type-C 40 Gbps (USB sạc nhanh 3.1, DisplayPort 2.1, HP Sleep and Charge)",AMD Ryzen AI (50 NPU TOPS),,,
https://cellphones.com.vn/laptop-hp-omnibook-5-ai-16-af1046tu-bz7q8pa.html,Laptop HP Omnibook 5 AI 16-AF1046TU BZ7Q8PA,HP,Liên hệ,laptop-hp-omnibook-5-ai-16-af1046tu-bz7q8pa,"Mua ngay Laptop HP Omnibook 5 AI 16-AF1046TU BZ7Q8PA giá rẻ - Hỗ trợ trả góp 0%, đổi mới 30 ngày, bảo hành chính hãng, giao hàng tận nơi miễn phí.",Intel Graphics,16GB,LPDDR5X/ 7467MHz Onboard,,512GB SSD PCIe (M.2 2280),16 inches,Màn hình chống chói,3 Cell Int (59.16Wh) ,Windows 11 Home Single Language 64-bit + Office Home 2024,1920 x 1200 pixels (WUXGA),Intel Core Ultra 5 225U (12 lõi) - Max Turbo Frequency: 4. 80 GHz,1 x USB 3.2 Gen 1 Type-A 1 x USB 3.2 Gen 2 Type-A 2 x USB 3.2 Gen 2 Type-C (hỗ trợ Power Delivery/DisplayPort/HP Sleep and Charge) 1 x HDMI 1 x Giắc cắm âm thanh kết hợp tai nghe/micrô,Intel AI  Boost,,,
https://cellphones.com.vn/laptop-msi-stealth-a16-ai-a3xwfg-018vn-ryzen-ai-9.html,Laptop MSI Stealth A16 AI+ A3XWFG-018VN,MSI,Liên hệ,laptop-msi-stealth-a16-ai-a3xwfg-018vn-ryzen-ai-9,"Mua ngay Laptop MSI Stealth A16 AI+ A3XWFG-018VN giá rẻ - Hỗ trợ trả góp 0%, đổi mới 30 ngày, bảo hành chính hãng, giao hàng tận nơi miễn phí.","NVIDIA GeForce RTX 5060, 8GB GDDR7 AMD Graphics",32GB,DDR5 - 5600Mhz,2 khe (2 x 16GB),"1TB NVMe PCIe SSD Gen4x4 w/o DRAM, 2 khe đã sử dụng 1 khe",16 inches,Độ phủ màu 100% DCI-P3  (Typ.),4 cell / 99.9 Whr,Windows 11 Home SEA,2560 x 1600 pixels (2.5K),AMD Ryzen AI 9 HX 370 (Tốc độ CPU (Base): 2Ghz / Tốc độ CPU Tối đa (Turbo Boost): 5.1GHz / Bộ nhớ đệm: 24MB),1x Type-C (USB4 / DisplayPort/ Power Delivery 3.0/ Thunderbolt 4) 2x Type-A USB3.2 Gen2 1x HDMI 2.1 (8K @ 60Hz / 4K @ 120Hz) 1x RJ45,AMD Ryzen AI - 50 AI TOPS,,,
https://cellphones.com.vn/laptop-asus-tuf-gaming-f16-fx607vjb-rl151w.html,Laptop ASUS TUF Gaming F16 FX607VJB-RL151W,ASUS,Liên hệ,laptop-asus-tuf-gaming-f16-fx607vjb-rl151w,"Mua ngay Laptop ASUS TUF Gaming F16 FX607VJB-RL151W giá rẻ - Hỗ trợ trả góp 0%, đổi mới 30 ngày, bảo hành chính hãng, giao hàng tận nơi miễn phí.",NVIDIA GeForce RTX 3050 6GB GDDR6Intel Iris Xe Graphics,16GB,DDR5-5600 SO-DIMM,2 khe (nâng tối đa 64GB),"512GB PCIe 4.0 NVMe M.2 SSD (2 Khe cắm M.2 hỗ trợ cả SATA hoặc NVMe, tối đa 2TB)",16 inches,Độ sáng 300 nits Tỷ lệ tương phản 1000:1 Độ phủ màu NTSC 45% Màn hình chống chói,"56WHrs, 4S1P, 4-cell Li-ionSạc từ 0-50% trong 30 phút",Windows 11 Home,1920 x 1200 pixels (WUXGA),"Intel Core 5 210H 2.2 GHz (12MB Cache, up to 4.8 GHz, 8 lõi, 12 luồng)",1x LAN RJ45 1x USB 3.2 Gen 2 Type-C hỗ trợ DisplayPort / Power Delivery (10Gbps) 2x USB 3.2 Gen 1 Type-A (5Gbps) 1x HDMI 2.1 FRL 1x giắc cắm âm thanh kết hợp 3.5mm / Micrô tích hợp,,,,
https://cellphones.com.vn/imac-m4-2024-24-inch-10cpu-10gpu-24gb-1tb.html,iMac M4 2024 24 inch 10CPU 10GPU 24GB 1TB | Chính hãng Apple Việt Nam,Apple,Liên hệ,imac-m4-2024-24-inch-10cpu-10gpu-24gb-1tb,"Mua ngay iMac M4 2024 24 inch 10CPU 10GPU 24GB 1TB giá rẻ - Hỗ trợ trả góp 0%, đổi mới 30 ngày, bảo hành chính hãng, giao hàng tận nơi miễn phí.",GPU 10 lõi,24GB,,,1TB,24 inches,Màn hình Retina 4.5K1 tỷ màuĐộ sáng 500 nitDải màu rộng (P3)Công nghệ True Tone,,macOS,4480 x 2520 (4.5K),Apple M4 10 lõi với 4 lõi hiệu năng và 6 lõi tiết kiệm điệnNeural Engine 16 lõi,4x Thunderbolt 4 (lên đến 40Gb/s)USB 4 (lên đến 40Gb/s)USB 3.1 Gen 2 (lên đến 10Gb/s)DisplayPortJack cắm tai nghe 3.5 mm có hỗ trợ nâng cao cho tai nghe trở kháng caoGigabit Ethernet,,,,
https://cellphones.com.vn/laptop-hp-250r-g10-cc9c0pt.html,Laptop HP 250R G10 CC9C0PT,HP,Liên hệ,laptop-hp-250r-g10-cc9c0pt,"Mua ngay Laptop HP 250R G10 CC9C0PT giá rẻ - Hỗ trợ trả góp 0%, đổi mới 30 ngày, bảo hành chính hãng, giao hàng tận nơi miễn phí.",Intel Graphics,16GB,DDR4 3200MHz,2 khe (1 x 16GB),512GB SSD PCIe (M.2 2280),15.6 inches,Màn hình chống chóiViền mỏng,3 Cell Int (41.04Wh),Windows 11 Home Single Language 64-bit,1920 x 1080 pixels (FullHD),Intel Core 7 150U (10 lõi) - Max Turbo Frequency: 5.40 GHz,"2 x USB 3.2 Gen 1 Type-A 1 x USB 3.2 Gen 2 Type-C (Power Delivery, DisplayPort, HP Sleep and Charge) 1 x HDMI 1 x Jack tai nghe/mic 3.5 mm",,,,
https://cellphones.com.vn/laptop-asus-rog-strix-g16-g614pp-ts112w.html,Laptop ASUS ROG Strix G16 G614PP-TS112W,ASUS,Liên hệ,laptop-asus-rog-strix-g16-g614pp-ts112w,"Mua ngay Laptop ASUS ROG Strix G16 G614PP-TS112W giá rẻ - Hỗ trợ trả góp 0%, đổi mới 30 ngày, bảo hành chính hãng, giao hàng tận nơi miễn phí.",NVIDIA GeForce RTX 5070 8GB GDDR7 AMD Radeon Graphics,16GB,DDR5-5200 SO-DIMM,2 khe (Nâng cấp tối đa 64GB),"512GB PCIe 4.0 NVMe M.2 SSD (2 Khe cắm M.2 hỗ trợ cả SATA hoặc NVMe, tối đa 2TB)",16 inches,Thời gian phản hồi 3ms (G2G) Góc nhìn 170° Độ sáng 500 nits Tỷ lệ tương phản 1700:1 Độ phủ màu 100% DCI-P3 Màn hình chống chói G-SYNC ROG Nebula Display Dolby Vision HDR Tản nhiệt: ROG Intelligent Cooling,"90WHrs, 4S1P, 4-cell Li-ion Sạc từ 0-50% trong 30 phút",Windows 11 Home,2560 x 1600 (WQXGA),"AMD Ryzen 9 8940HX 2.4GHz (80MB Cache, up to 5.3GHz, 16 lõi, 32 luồng)","1x RJ45 (LAN) 2x USB-C USB4 (40Gbps, hỗ trợ DisplayPort, G-SYNC; 1 cổng có sạc) 2x USB-A 3.2 Gen 2 (10Gbps) 1x HDMI 2.1 FRL 1x jack tai nghe/micro 3.5mm Micro tích hợp (array)",,,,
https://cellphones.com.vn/huawei-matebook-x.html,Huawei Matebook X,Huawei,Liên hệ,huawei-matebook-x,"Mua laptop Huawei Matebook X (2020) giá rẻ, màn hình 3K, mỏng nhẹ. Bảo hành 12 tháng, đổi mới 30 ngày, trả góp 0%. Mua ngay Matebook X tại đây.",NVIDIA® GeForce® MX250 + Intel® UHD Graphics,,,,512 GB NVMe PCIe SSD,14 inches,"LTPS, 100% sRGB, 450 nits",56 Wh,Windows 10 Home SL,3000 x 2000 pixels,"10th Gen Intel® Core™ i5-10210U Processor, 1.6 GHz 4 cores, Turbo up to 4.2 GHz"," USB-C x 2 (support data, charging and DisplayPort), USB-A 3.0 x 1, 3.5 mm headset and microphone jack x 1",,,,
https://cellphones.com.vn/laptop-asus-tuf-gaming-a14-fa401ea-rg034w.html,Laptop ASUS TUF Gaming A14 FA401EA‑RG034W,ASUS,Liên hệ,laptop-asus-tuf-gaming-a14-fa401ea-rg034w,"Mua ngay Laptop ASUS TUF Gaming A14 FA401EA‑RG034W giá rẻ - Hỗ trợ trả góp 0%, đổi mới 30 ngày, bảo hành chính hãng, giao hàng tận nơi miễn phí.",AMD Radeon 8060S Graphics,64GB,LPDDR5X 8533 on board,,"1TB PCIe 4.0 NVMe M.2 SSD (1 Khe cắm M.2 hỗ trợ cả SATA hoặc NVMe, tối đa 2TB)",14 inches,Độ sáng 400 nits Độ tương phản 1000:1 Độ phủ màu 100% sRGB Màn hình chống chói (AG),"73WHrs, 4S1P, 4-cell Li-ion",Windows 11 Home,2560 x 1600 (WQXGA),"AMD Ryzen AI MAX+ 392 3.2GHz (80MB Cache, up to 5.0GHz, 12 lõi, 24 luồng)","1 x USB-C USB 4 (DisplayPort, Sạc, 40Gbps) 1 x USB-C 3.2 Gen 2 (DisplayPort, 10Gbps) 2 x USB 3.2 Gen 2 Type-A (10Gbps) 1 x khe thẻ microSD (UHS-II, 312MB/s) 1 x HDMI 2.1 FRL 1 x Jack tai nghe/mic 3.5 mm",AMD XDNA NPU up to 50TOPS,,,
https://cellphones.com.vn/laptop-asus-expertbook-p3-pm3406cha-ly0089w.html,Laptop ASUS ExpertBook P3 PM3406CHA-LY0089W,ASUS,Liên hệ,laptop-asus-expertbook-p3-pm3406cha-ly0089w,"Mua ngay Laptop ASUS ExpertBook P3 PM3406CHA-LY0089W giá rẻ - Hỗ trợ trả góp 0%, đổi mới 30 ngày, bảo hành chính hãng, giao hàng tận nơi miễn phí.",AMD Radeon 780M,16GB,DDR5 SO-DIMM,Có thể nâng cấp; Cần tháo vỏ dưới/trên,512GB M.2 2280 NVMe PCIe 4.0 SSD,14 inches,Màn hình chống chói Độ phủ màu 45% NTSC Góc nhìn 160°/160° Thời gian phản hồi 20/25 ms Tỷ lệ tương phản: 800:1,"50WHrs, 3S1P, 3-cell Li-ion",Windows 11 Home,1920 x 1200 pixels (WUXGA),"AMD Ryzen 7 8840HS 3.3GHz (16MB Cache, up to 5.1 GHz, 8 lõi, 16 luồng), AMD Ryzen AI up to 39 TOPs ",1x USB-C 3.2 Gen 2 (hỗ trợ Display &amp; Power Delivery) 1x USB-C USB4 (hỗ trợ Display &amp; Power Delivery) 2x USB-A 3.2 Gen 1 1x HDMI 2.1 TMDS 1x jack tai nghe/mic 3.5mm 1x RJ45 Gigabit Ethernet,AMD Ryzen AI up to 16 TOPs,,,
