url,ten_san_pham,thuong_hieu,gia_ban,sku,mo_ta_ngan,Kích thước ,Trọng lượng ,Công nghệ âm thanh ,Micro,Phương thức điều khiển,Tính năng khác,Hãng sản xuất,Cổng kết nối ,Thời lượng sử dụng Pin,Chipset,Phạm vi kết nối ,Dung lượng pin,Pin,Cổng sạc vào,Tiện ích,Chất liệu ,Công suất ,Thời lượng pin ,Dung lượng Pin
https://cellphones.com.vn/apple-airpods-max-2.html,Tai nghe chụp tai chống ồn Apple AirPods Max 2 2026 | Chính hãng Apple Việt Nam,Apple Chính hãng,Liên hệ,apple-airpods-max-2,"Tai nghe Apple AirPods Max 2 2026 chính hãng, giá tốt - Nhận hàng sớm, giao nhanh toàn quốc, giảm thêm Smember. Mua Airpods Max 2 tại đây.",168.6 x 187.3 x 83.4 mm ,"AirPods Max 2, bao gồm đệm tai: 386,2 gramSmart Case: 134,5 gram",Trình điều khiển động do Apple thiết kế  Bộ khuếch đại với độ lệch tương phản cao có thể tùy chỉnh Chủ Động Khử Tiếng Ồn Âm Thanh Thích Ứng Chế độ Xuyên Âm Nhận Biết Cuộc Hội Thoại Tách Lời Nói Âm Lượng Được Cá Nhân Hóa Giảm Âm,Tổng cộng chín micrô:  Tám micrô dành cho tính năng Chủ Động Khử Tiếng Ồn Ba micrô dành cho tính năng nhận diện giọng nói (hai micrô dùng chung với tính năng Chủ Động Khử Tiếng Ồn và một micrô bổ sung),,Các tính năng Trợ Năng giúp người khuyết tật tận dụng tối đa AirPods Max mới của mình.  Các tính năng bao gồm:  Âm thanh Nghe Trực Tiếp Mức âm thanh tai nghe Thích Nghi Tai Nghe,Apple Chính hãng,,Lên đến 20 giờ với một lần sạc khi bật tính năng Chủ Động Khử Tiếng Ồn,Chip tai nghe Apple H2 (mỗi bên củ tai),,,,,,,,,
https://cellphones.com.vn/tai-nghe-chup-tai-khong-day-chong-on-alpha-works-flex-688.html,Tai nghe Bluetooth chụp tai Alpha Works FLEX 688,Alpha Works,Liên hệ,tai-nghe-chup-tai-khong-day-chong-on-alpha-works-flex-688,"Mua Tai nghe Alpha Works FLEX 688 chính hãng - Giá tốt, bảo hành 1 năm, giao hàng miễn phí toàn quốc. Mua ngay Alpha Works FLEX 688 tại đây.",,,Âm thanh 3D Sound3 chế độ EQChống ồn chủ động ANC,Có,Nút bấm vật lý,Chống ồn môi trường ENC,Alpha Works,3.5mm,Bật ANC: 50 giờTắt ANC: 65 giờ,,,,,,,,,,
https://cellphones.com.vn/tai-nghe-khong-day-edifier-lolliclip.html,Tai nghe Bluetooth thể thao Edifier Lolliclip,Edifier,Liên hệ,tai-nghe-khong-day-edifier-lolliclip,"Mua tai nghe Edifier Lolliclip chính hãng - Giá tốt, bảo hành uy tín, giao hàng tận nơi toàn quốc. Mua ngay Edifier Lolliclip tại đây.",,Tai nghe: 7gHộp sạc: 46g,Chống ồn chủ động ANC360° Spatial AudioHi-Res Wireless,Có (3 micro/tai nghe),Cảm ứng chạm,Google Fast PairTheo dõi nhịp tim và nồng độ oxy trong máuKháng nước IP56,Edifier,,Tai nghe: 9 giờHộp sạc: 39 giờ,,,,,,,,,,
https://cellphones.com.vn/tai-nghe-chup-tai-havit-h630bt.html,Tai nghe Bluetooth chụp tai Havit H630BT,Havit,Liên hệ,tai-nghe-chup-tai-havit-h630bt,"Mua tai nghe chụp tai Havit H630BT chính hãng - Giá tốt, bảo hành uy tín, giao hàng tận nơi toàn quốc. Mua ngay tai nghe chụp tai Havit H630BT tại đây.",,,,Có,,,Havit,3.5mm,,,10 m,,,,,,,,
https://cellphones.com.vn/tai-nghe-bluetooth-jbl-endurance-zone.html,Tai nghe Bluetooth thể thao JBL Endurance Zone,JBL,Liên hệ,tai-nghe-bluetooth-jbl-endurance-zone,"Mua Tai nghe JBL Endurance Zone chính hãng - Giá tốt, bảo hành uy tín, giao hàng tận nơi toàn quốc. Mua ngay JBL Endurance Zone tại đây.",,Tai nghe: 10 gHộp sạc: 67.30 g,Công nghệ âm thanh mở JBL OpenSound ,Có,Cảm ứng chạm,Kết nối đa điểm,JBL,,Tai nghe: 8 giờHộp sạc: 24 giờ,,,,,,,,,,
https://cellphones.com.vn/tai-nghe-truyen-dan-xuong-shokz-openswim-pro.html,Tai nghe truyền dẫn xương Shokz OpenSwim Pro,Shokz,Liên hệ,tai-nghe-truyen-dan-xuong-shokz-openswim-pro,"Mua Tai nghe thể thao Shokz OpenSwim Pro chính hãng - Giá tốt, góp 0% bảo hành uy tín, giao hàng toàn quốc. Mua ngay OpenSwim Pro tại đây.",,27.3 g,PremiumPitch™ 2.0+,Có,,Sạc nhanh Kháng nước IP68,Shokz,,Chế độ Bluetooth: 9 Giờ br&gt;,,,,,,,,,,
https://cellphones.com.vn/tai-nghe-khong-day-sony-float-run.html,Tai nghe Bluetooth thể thao Sony Float Run WI-OE610,Sony,Liên hệ,tai-nghe-khong-day-sony-float-run,"Mua Tai nghe Sony Float Run chính hãng - Giá tốt, ưu đãi khủng, bảo hành 12 tháng, giao hàng tận nơi. Mua ngay Float Run WI-OE610 tại đây.",Dài 14.1 cm - Rộng 7.4 cm - Cao 15.9 cm,33 g,360 Reality Audio,Có,Nút bấm vật lý,Chế độ Âm thanh xung quanh  Chống nước IPX4  Sạc nhanh ,Sony,,10 giờ,,,,,,,,,,
https://cellphones.com.vn/tai-nghe-chup-tai-havit-h619bt.html,Tai nghe Bluetooth chụp tai Havit H619BT,Havit,Liên hệ,tai-nghe-chup-tai-havit-h619bt,"Mua Tai nghe Havit H619BT chính hãng - Giá tốt, bảo hành uy tín, giao hàng tận nơi toàn quốc. Mua ngay Havit H619BT tại đây.",168 x 190 x 85 mm,190g,,Có,Nút bấm vật lý,Chống ồn môi trường (ENC),Havit,,20 giờ,,,,,,,,,,
https://cellphones.com.vn/tai-nghe-chup-tai-anker-soundcore-space-one.html,Tai nghe Bluetooth chụp tai Anker Soundcore Space One,Anker,Liên hệ,tai-nghe-chup-tai-anker-soundcore-space-one,"Mua Tai nghe chụp tai Anker Soundcore Space One chính hãng - Giá tốt, bảo hành uy tín, giao hàng tận nơi toàn quốc. Mua ngay Anker Soundcore Space One tại đây.",,260g ,Chống ồn ANCHiRes Wireless,Có3 mic AI,Nút bấm,,Anker,,Bật ANC: 40 giờTắt ANC: 55 giờ ,,,,,,,,,,
https://cellphones.com.vn/tai-nghe-khong-day-havit-tw958-pro.html,Tai nghe Bluetooth True Wireless Havit TW958 Pro,Havit,Liên hệ,tai-nghe-khong-day-havit-tw958-pro,"Mua tai nghe Bluetooth Havit TW958 Pro chính hãng - Giá tốt, ưu đãi khủng, bảo hành uy tín, giao hàng toàn quốc. Mua ngay Havit TW958 Pro tại đây.",,,,Có2 mic ENC + ANC,,Chế độ Gaming Mode ,Havit,,,,10 m,Tai nghe: 7 giờHộp sạc: 32 giờ,,,,,,,
https://cellphones.com.vn/tai-nghe-chup-tai-trusmi-bh01.html,Tai nghe Bluetooth chụp tai Trusmi BH01,Trusmi,Liên hệ,tai-nghe-chup-tai-trusmi-bh01,"Mua tai nghe Trusmi BH01 chính hãng - Giá tốt, bảo hành uy tín, giao hàng tận nơi toàn quốc. Mua ngay Trusmi BH01 tại đây.",,,Chống ồn chủ động ANCHi-Fi AudioChống ồn môi trường ENC,Có ,,,Trusmi,3.5mm,50 giờ,,,,,,,,,,
https://cellphones.com.vn/tai-nghe-bluetooth-samsung-galaxy-buds-3-pro-kich-hoat-online.html,Tai nghe Bluetooth Samsung Galaxy Buds 3 Pro - Đã kích hoạt online - Hàng mới nguyên seal,Samsung Chính hãng,Liên hệ,tai-nghe-bluetooth-samsung-galaxy-buds-3-pro-kich-hoat-online,"Mua Tai nghe Tai nghe Bluetooth Samsung Galaxy Buds 3 Pro - Đã kích hoạt online - Hàng mới nguyên seal chính hãng - Giá tốt, bảo hành uy tín, giao hàng tận nơi toàn quốc.",Tai nghe: 18.1 x 19.8 x 33.2mmHộp sạc:58.9 x 48.7 x 24.4mm,Tai nghe: 5.4gHộp sạc: 46.5g,Chống ồn chủ động ANC Âm thanh Hi-Fi 24 bit Âm thanh vòm 360Âm thanh xung quanhHệ thống âm thanh képHệ thống loa 2 chiều,Có  6 micro ,Cảm ứng chạm Nhấn thanh bar,Tự động chuyển đổi kết nối giữa các thiết bị GalaxyPhiên dịch viên hỗ trợ nghe bản dịch trực tiếpTự động tinh chỉnh ANCThanh ánh sáng Blade Lights,Samsung Chính hãng,,Tai nghe: 7 giờ (Tắt ANC) / 6 giờ (Bật ANC)Hộp sạc: 30 giờ (Tắt ANC) / 26 giờ (Bật ANC),,,,,,,,,,
https://cellphones.com.vn/tai-nghe-chup-tai-qcy-h2-pro.html,Tai nghe Bluetooth chụp tai QCY H2 Pro,QCY,Liên hệ,tai-nghe-chup-tai-qcy-h2-pro,"Mua Tai nghe QCY H2 Pro chính hãng - Giá tốt 06/2026, giảm thêm Smember, bảo hành uy tín, giao hàng toàn quốc. Mua ngay QCY H2 Pro tại đây.",16.02 x 19.83 cm,,,Có,Nút bấm vật lý,Độ trễ 68msChống ồn môi trường ENCSạc nhanh,QCY,3.5mm,60 giờ,,,,,,,,,,
https://cellphones.com.vn/tai-nghe-chup-tai-edifier-evo-space.html,Tai nghe Bluetooth chụp tai Edifier Evo Space (TBC),Edifier,Liên hệ,tai-nghe-chup-tai-edifier-evo-space,"Mua Tai nghe Bluetooth chụp tai Edifier Evo Space (TBC) chính hãng - Giá tốt, bảo hành uy tín, giao hàng toàn quốc. Mua ngay Edifier Evo Space (TBC) tại đây.",,260 gram,,Có ,,,Edifier,,Lên đến 93 giờ,,,,,,,,,,
https://cellphones.com.vn/tai-nghe-khong-day-havit-tw-947.html,Tai nghe Bluetooth True Wireless Havit TW947,Havit,Liên hệ,tai-nghe-khong-day-havit-tw-947,"Mua Tai nghe không dây Havit TW947 chính hãng - Giá cực tốt, bảo hành uy tín, giao hàng nhanh toàn quốc. Mua ngay Havit TW947 tại đây.",,,Âm thanh Stereo,Có,Cảm ứng chạm,Chống ồn môi trường (ENC),Havit,,,,10m,Tai nghe: 6 giờHộp sạc: 30 giờ,,,,,,,
https://cellphones.com.vn/tai-nghe-bluetooth-trusmi-ws02.html,Tai nghe Bluetooth True Wireless Trusmi WS02,Trusmi,Liên hệ,tai-nghe-bluetooth-trusmi-ws02,"Mua tai nghe Trusmi WS02 chính hãng - Giá tốt, bảo hành uy tín, giao hàng tận nơi toàn quốc. Mua ngay Trusmi WS02 tại đây.",,,,Có,,,Trusmi,,Tai nghe: 4 giờHộp sạc: 15 giờ,,,,,,,,,,
https://cellphones.com.vn/tai-nghe-bluetooth-havit-life-04t-tw888.html,Tai nghe Bluetooth True Wireless Havit LIFE 04T TW888,Havit,Liên hệ,tai-nghe-bluetooth-havit-life-04t-tw888,"Mua Tai nghe Bluetooth Havit LIFE 04T TW888  chính hãng - Giá tốt, bảo hành uy tín, giao hàng tận nơi toàn quốc. Mua ngay Tai nghe Bluetooth Havit LIFE 04T TW888  tại đây.",,,,Có,,Công nghệ Clear CallsĐộ trễ thấp,Havit,,Tai nghe: 5.5 giờHộp sạc: 30 giờ,,,,,,,,,,
https://cellphones.com.vn/tai-nghe-hyperx-cloud-flight-2-wireless.html,Tai nghe chụp tai không dây Gaming HyperX Cloud Flight 2 Wireless,HyperX,Liên hệ,tai-nghe-hyperx-cloud-flight-2-wireless,"Mua Tai nghe HyperX Cloud Flight 2 Wireless chính hãng - Giá tốt, bảo hành uy tín, giao hàng tận nơi toàn quốc. Mua ngay HyperX Cloud Flight 2 Wireless tại đây.",,,,Có,Nút bấm vật lý,Micro có thể tháo rờiKết nối Bluetooth hoặc không dây 2.4GHzTích hợp RGB Base Station,HyperX,USB,Chế độ 2.4 GHz: 100 giờChế độ Bluetooth: 150 giờ,,,,,,,,,,
https://cellphones.com.vn/tai-nghe-bluetooth-goojodoq-j206.html,Tai nghe Bluetooth True Wireless GOOJODOQ J206,Goojodoq,Liên hệ,tai-nghe-bluetooth-goojodoq-j206,"Mua tai nghe GOOJODOQ J206 chính hãng - Giá tốt, bảo hành uy tín, giao hàng tận nơi toàn quốc. Mua ngay GOOJODOQ J206 tại đây.",,,,Có,,Chế độ Thể thao điện tử,Goojodoq,,Tai nghe: 4-5 giờ,,,,,,,,,,
https://cellphones.com.vn/tai-nghe-chup-tai-khong-day-alpha-works-lite-660.html,Tai nghe Bluetooth chụp tai Alpha Works LITE 660,Alpha Works,Liên hệ,tai-nghe-chup-tai-khong-day-alpha-works-lite-660,"Mua Tai nghe Alpha Works LITE 660 chính hãng - Giá tốt, bảo hành 1 năm, giao hàng miễn phí toàn quốc. Mua ngay Alpha Works LITE 660 tại đây.",,,Âm thanh 3D Sound3 chế độ EQ,Có,Nút bấm vật lý,,Alpha Works,3.5mm,50 giờ,,,,,,,,,,
https://cellphones.com.vn/tai-nghe-khong-day-qcy-t13.html,Tai nghe Bluetooth True Wireless QCY T13 ANC2 (HT09),QCY,Liên hệ,tai-nghe-khong-day-qcy-t13,"Mua Tai nghe QCY T13 ANC2 (HT09) chính hãng - Giá tốt, giảm Smember, bảo hành uy tín, giao hàng tận nơi toàn quốc. Mua ngay QCY T13 tại đây.", Tai nghe: 21.4 x 32.4 x 23.4 mmHộp sạc: 57.5 x 52.6 x 28.8 mm,,,4 micro tích hợp,Chạm cảm ứng,Chống ồn môi trường ENCĐộ trễ 0.68s,QCY,,Tai nghe: 7 giờHộp sạc: 30 giờ(Tắt ANC),,,,,,,,,,
https://cellphones.com.vn/tai-nghe-chup-tai-baseus-bass-35-max.html,Tai nghe Bluetooth chụp tai Baseus Bass 35 Max,Baseus,Liên hệ,tai-nghe-chup-tai-baseus-bass-35-max,"Mua Tai nghe Baseus Bass 35 Max chính hãng - Giá tốt, nhiều ưu đãi, bảo hành uy tín, giao hàng toàn quốc. Mua ngay Bass 35 Max tại đây.",Dài 20 cm - Rộng 16.9 cm - Cao 8 cm,238.8 g,Surround Sound Passive Noise Cancellation Công nghệ ENC Dynamic Bass Boost,Có,Phím nhấn,,Baseus,3.5mm,50 giờ,,,,,,,,,,
https://cellphones.com.vn/tai-nghe-bluetooth-edifier-neobuds-planar.html,Tai nghe Bluetooth True Wireless Edifier Neobuds Planar,Edifier,Liên hệ,tai-nghe-bluetooth-edifier-neobuds-planar,"Mua Tai nghe Bluetooth Edifier Neobuds Planar chính hãng - Giá tốt, bảo hành uy tín, giao hàng tận nơi toàn quốc. Mua ngay Tai nghe Bluetooth Edifier Neobuds Planar  tại đây.",,,Khử tiếng ồn chủ động ANCChống ồn môi trường ENC,Có (3 micro),Cảm ứng chạm,Sạc nhanh,Edifier,,Tai nghe: 8 giờHộp sạc: 24 giờ,,,,,,,,,,
https://cellphones.com.vn/tai-nghe-bluetooth-honor-choice-cubuds.html,Tai nghe Bluetooth True Wireless HONOR CHOICE CuBuds,HONOR,Liên hệ,tai-nghe-bluetooth-honor-choice-cubuds,"Mua Tai nghe HONOR CHOICE CuBuds chính hãng - Giá tốt, bảo hành uy tín, giao hàng toàn quốc. Mua ngay HONOR CHOICE CuBuds tại đây.",Tai nghe: 31.8 x 18.3 x 17.6 mmHộp sạc: 60 x 52.5 x 27.9 mm,Tai nghe: 4.19g Hộp sạc: 67g,,Có,Cảm ứng chạm,Công nghệ khử ồn cuộc gọi AICông nghệ nhận diện đeoBộ nhớ trong 4GB tích hợp sẵnTích hợp màn hình cảm ứng 2 inch trên hộp sạc,HONOR,,Tai nghe: 7 giờ Hộp sạc: 50 giờ,,,,,,,,,,
https://cellphones.com.vn/tai-nghe-bluetooth-xiaomi-redmi-buds-8-active.html,Tai nghe Bluetooth Xiaomi Redmi Buds 8 Active,Xiaomi,Liên hệ,tai-nghe-bluetooth-xiaomi-redmi-buds-8-active,"Mua Tai nghe Bluetooth Xiaomi Redmi Buds 8 Active chính hãng - Giá tốt, bảo hành uy tín, giao hàng tận nơi toàn quốc. Mua ngay Tai nghe Bluetooth Xiaomi Redmi Buds 8 Active tại đây.",,,,Có,,Tinh chỉnh EQ,Xiaomi,,Hộp sạc: 37 giờ,,,,,,,,,,
https://cellphones.com.vn/apple-airpods-3.html,Tai nghe Bluetooth Apple AirPods 3 MagSafe | Chính hãng Apple Việt Nam,Apple Chính hãng,Liên hệ,NB.440,"Mua tai nghe Apple Airpods 3 chính hãng, giá rẻ - Trả góp 0%, Không phụ phí, Không trả trước, giao nhanh 2h. Mua ngay Airpods 3 tại đây.",,,"Spatial studio, Âm thanh 3D, Dolby Atmos",Có,Cảm biến lực,,Apple Chính hãng,,,Apple H1,10 m,,,,,,,,
https://cellphones.com.vn/tai-nghe-khong-day-havit-tw967-pro.html,Tai nghe Bluetooth True Wireless Havit TW967 Pro,Havit,Liên hệ,tai-nghe-khong-day-havit-tw967-pro,"Mua Tai nghe Havit TW967 Pro chính hãng - Giá tốt, bảo hành uy tín, giao hàng tận nơi toàn quốc. Mua ngay Havit TW967 Pro tại đây.",,,,Có,Cảm ứng chạm,Tính năng Master-slave,Havit,,,,,,,,,,,,
https://cellphones.com.vn/tai-nghe-bluetooth-oppo-enco-x3s.html,Tai nghe Bluetooth True Wireless OPPO Enco X3S,OPPO,Liên hệ,tai-nghe-bluetooth-oppo-enco-x3s,"Mua Tai nghe OPPO Enco X3S chính hãng - Giá tốt, bảo hành uy tín, giao hàng tận nơi toàn quốc. Mua ngay OPPO Enco X3S tại đây.",Tai nghe: 31 x 20.6 x 24.2 mm  Hộp sạc: 49.04 x 49.29 x 24.06 mm,Tai nghe: ~4.73 ± 0.2 g  Hộp sạc: ~ 39.57 ± 1 g,,Có,Cảm ứng chạm (chạm 1 lần/chạm 2 lần/chạm 3 lần/trượt/giữ lâu),"Kháng nước, bụi chuẩn: IP55",OPPO,,Tai nghe: 11 giờ Hộp sạc: 45 giờ,,,,,,,,,,
https://cellphones.com.vn/tai-nghe-khong-day-edifier-neobuds-pro-2.html,Tai nghe Bluetooth True Wireless Edifier NeoBuds Pro 2,Edifier,Liên hệ,T.ED.02,"Mua Tai nghe Edifier NeoBuds Pro 2 chính hãng - Giá tốt, bảo hành uy tín, giao hàng tận nơi toàn quốc. Mua ngay Sony WH-1000xm6 tại đây.",,Tai nghe: 5.6g (mỗi bên )  Hộp sạc: 49.2g ,Loại bỏ tiếng ồn cuộc gọi thoạiChống ồn chủ độngXuyên âmSpartial Sound,Có  8 micro,,Sạc nhanh Chống bụi và nước IP54,Edifier,,Tai nghe: 5.5 giờHộp sạc: 16.5 giờ (Tắt chống ồn),,,,,,,,,,
https://cellphones.com.vn/tai-nghe-bluetooth-jbl-tune-flex.html,Tai nghe Bluetooth True Wireless JBL Tune Flex,JBL,Liên hệ,T.JBL.10,"Tai nghe JBL Tune Flex chính hãng - Giá tốt, nhiều ưu đãi hấp dẫn, có trả góp 0%. Mua ngay tai nghe bluetooth JBL Tune Flex giao hàng toàn quốc.",,Tai nghe: 9.6gHộp sạc: 38.6g,,4 Micro,Chạm cảm ứng,Chống nước IPX4 ,JBL,,Tai nghe: 8 giờHộp sạc: 24 giờ,,,,,,,,,,
https://cellphones.com.vn/tai-nghe-bluetooth-baseus-bowie-mc1.html,Tai nghe thể thao Baseus Bowie MC1,Baseus,Liên hệ,tai-nghe-bluetooth-baseus-bowie-mc1,"Mua Tai nghe thể thao Baseus Bowie MC1 chính hãng - Giá tốt, bảo hành uy tín, giao hàng toàn quốc. Mua ngay Baseus Bowie MC1 tại đây.",,Tai nghe: 5.2 g,Công nghệ ENC,Có4 micro,Cảm ứng chạm,Chống nước &amp; bụi IP57Có mic thoạiSạc nhanhChống ồnTương thích trợ lý ảoKhử ồn cuộc gọi,Baseus,,Tai nghe: 9 giờHộp sạc: 40 giờ,,,,,,,,,,
https://cellphones.com.vn/tai-nghe-bluetooth-chup-tai-stargo-c100-pro-anc.html,Tai nghe Bluetooth chụp tai StarGO C100 Pro (ANC),StarGO,Liên hệ,tai-nghe-bluetooth-chup-tai-stargo-c100-pro-anc,"Mua Tai nghe StarGO C100 Pro (ANC) chính hãng - Giá tốt, bảo hành uy tín, giao hàng tận nơi toàn quốc. Mua ngay StarGO C100 Pro (ANC) tại đây.",,,Chống ồn chủ động ANC,Có,,,StarGO,,15 giờ,,,,,,,,,,
