url,ten_san_pham,thuong_hieu,gia_ban,sku,mo_ta_ngan,Trọng lượng ,Công nghệ âm thanh ,Công suất ,Thời lượng pin ,Chống nước,Hãng sản xuất,Phạm vi kết nối ,Kích thước,Số loa kết nối cùng lúc,Cổng kết nối ,Cấu tạo,Tính năng khác,Tiện ích,Dung lượng Pin,Pin,Công suất,Micro,Thời lượng sử dụng Pin
https://cellphones.com.vn/loa-bluetooth-soundpeats-hi-singing.html,Loa Bluetooth SoundPEATS Hi Singing,Soundpeats,Liên hệ,tai-nghe-khong-day-soundpeats-hi-sing,"Mua Loa Bluetooth Soundpeats Hi Singing chính hãng - Giá tốt, bảo hành uy tín, giao hàng toàn quốc. Mua ngay Soundpeats Hi Sing tại đây.",Loa: 292.5gMicro: 81g,,,5 giờ,,Soundpeats,,,,,Driver Dynamic: 49.8 x 21 mm,Có đèn LED,,,,,,
https://cellphones.com.vn/loa-bluetooth-havit-sk809bt.html,Loa Bluetooth Havit SK809BT,Havit,Liên hệ,loa-bluetooth-havit-sk809bt,"Mua Loa Havit SK809BT chính hãng - Giá tốt, bảo hành uy tín, giao hàng tận nơi toàn quốc. Mua ngay Havit SK809BT tại đây.",500g,,6W,6 giờ,IPX6,Havit,,27 x 13 x 14cm,2 loa,"AUX, TF",,Chức năng điện thoạiĐèn LED nhiều màu,,,,,,
https://cellphones.com.vn/loa-bluetooth-lg-xboom-bounce.html,Loa Bluetooth LG xboom Bounce,LG,Liên hệ,loa-lg-xboom-bounce,"Mua Loa Bluetooth LG xboom Bounce chính hãng - Giá tốt, bảo hành uy tín, giao hàng tận nơi toàn quốc. Mua ngay Loa Bluetooth LG xboom Bounce tại đây.",1.42 kg,AI Sound,30W,30 giờ,IP67,LG,,272 x 103 x 88 mm,,,Loa tweeter: 20 mm x 2  Loa trầm: 93 x 53 mm  Dây đeo,Kết nối nhiều loa qua Auracast™  Ra lệnh bằng giọng nói  Ứng dụng Buetooth (Android/IOS),,,,,,
https://cellphones.com.vn/loa-bluetooth-alpha-works-aw-w38.html,Loa Bluetooth Alpha Works AW-W38,Alpha Works,Liên hệ,loa-bluetooth-alpha-works-aw-w38,"Mua Loa Alpha Works W38 chính hãng - Giá rẻ, trả góp tốt, bảo hành uy tín, giao hàng nhanh toàn quốc. Mua Alpha Works AW-W38 tại đây.",700g,,20W (RMS)40W (Peak),13 giờ,IPX4,Alpha Works,,,2,AUX 3.5mm,,,,,,,,
https://cellphones.com.vn/loa-bluetooth-stargo-wave-mini.html,Loa Bluetooth StarGO Wave Mini,StarGO,Liên hệ,loa-bluetooth-stargo-wave-mini,"Mua Loa Bluetooth StarGO Ware Mini chính hãng - Giá tốt, bảo hành uy tín, giao hàng toàn quốc. Mua ngay StarGO Ware Mini tại đây.",274 g,,7W,3 giờ,,StarGO,,124.5 x 48 x 85.5 mm,,,Màng loa: 52mm,,,,,,,
https://cellphones.com.vn/loa-bluetooth-tronsmart-groove-2.html,Loa Bluetooth Tronsmart Groove 2,Tronsmart,Liên hệ,LA.258,"Mua Loa Bluetooth Tronsmart Groove 2 nhỏ gọn, chất âm tốt - Giá rẻ, bảo hành uy tín, giao hàng toàn quốc. Mua Tronsmart Groove 2 tại đây.",,Chế độ EQ képGhép nối âm thanh nổi,10W,18 giờ,IPX7,Tronsmart,18 m,,2 thiết bị,Aux-in Thẻ nhớ Micro SD/TF,,,,,,,,
https://cellphones.com.vn/loa-bluetooth-havit-sk905bt.html,Loa Bluetooth Havit SK905BT,Havit,Liên hệ,loa-bluetooth-havit-sk905bt,"Mua Loa Havit SK905BT chính hãng - Giá tốt, bảo hành uy tín, giao hàng tận nơi toàn quốc. Mua ngay Havit SK905BT tại đây.",487g,,20W,Nghe nhạc: 25 giờĐàm thoại: 3 giờ,IP67,Havit,,160 x 71.5mm,2 loa,AUXTF,,Cuộc gọi rảnh tay,,,,,,
https://cellphones.com.vn/loa-bluetooth-jbl-flip-7.html,Loa Bluetooth JBL Flip 7,JBL,Liên hệ, loa-bluetooth-jbl-flip-7-5,"Loa bluetooth JBL Flip 7 chính hãng - Giá tốt, bảo hành PGI care uy tín. Ưu đãi trả góp, giảm giá đặc biệt cho HSSV - Giảng viên. Giao miễn phí.",18.25 x 6.95 x 7.15 cm,AI Sound Boost,Woofer: 25W RMSTweeter: 10W RMS,14 giờ,IP68,JBL,,0.56 kg,,USB-C,"Woofer: 45 x 80 mm, Tweeter: 16 mm",Auracast™,,,,,,
https://cellphones.com.vn/loa-bluetooth-havit-sk810bt.html,Loa Bluetooth Havit SK810BT,Havit,Liên hệ,loa-bluetooth-havit-sk810bt,"Mua Loa Bluetooth Havit SK810BT chính hãng - Giá tốt, bảo hành uy tín, giao hàng tận nơi toàn quốc. Mua ngay Loa Bluetooth Havit SK810BT tại đây.",,,7W x 2,8 giờ,IPX5,Havit,,,2,AUXTF CardUSB,,,,,,,,
https://cellphones.com.vn/loa-bluetooth-tronsmart-mirtune-h1.html,Loa Bluetooth Tronsmart Mirtune H1,Tronsmart,Liên hệ,loa-bluetooth-tronsmart-mirtune-h1,"Mua Loa Bluetooth Tronsmart Mirtune H1 chất lượng - Giá rẻ, bảo hành uy tín, giao hàng miễn phí toàn quốc. Mua Tronsmart Mirtune H1 tại đây.",291 gr,,Công suất đầu vào 5V/1A qua Cổng Type-C Đầu ra 8W,20 giờ,IPX7,Tronsmart,,81 x 138 x 46 mm,,,,,,,,,,
https://cellphones.com.vn/loa-bluetooth-stargo-boom-lite.html,Loa Bluetooth StarGO Boom Lite,StarGO,Liên hệ,loa-bluetooth-stargo-boom-lite,"Mua Loa Bluetooth StarGO Boom Lite chính hãng - Giá tốt, bảo hành uy tín, giao hàng toàn quốc. Mua ngay StarGO Boom Lite tại đây.",332g,,5W,3 giờ,,StarGO,,111 x 111 x 87 mm,,,Màng loa: 57mm,,,,,,,
https://cellphones.com.vn/loa-bluetooth-edifier-qs20.html,Loa Bluetooth Edifier QS20,Edifier,Liên hệ,loa-bluetooth-edifier-qs20,"Mua Loa Edifier QS20 chính hãng - Giá tốt, bảo hành uy tín, giao hàng tận nơi toàn quốc. Mua ngay Edifier QS20 tại đây.",327 g,Âm thanh nổiChế độ âm thanh tùy chỉnh,6 W,12 giờ,IP67,Edifier,,93 × 94.6 × 48 mm,,,Toàn dải: 43mmBộ tản nhiệt thụ động: 55mm,Công nghệ TempoAbyss,,,,,,
https://cellphones.com.vn/loa-bluetooth-divoom-tiivoo-2.html,Loa Bluetooth Divoom Tiivoo-2,Divoom,Liên hệ,loa-bluetooth-divoom-tiivoo-2,"Mua Loa Bluetooth Divoom Tiivoo-2 chính hãng - Giá tốt, bảo hành uy tín, giao hàng tận nơi toàn quốc. Mua ngay Divoom Tiivoo-2 tại đây.",288.6 g,,5 W,8 giờ,,Divoom,,73.92 x 74.1 x 96.62 mm,,,,,,,,,,
https://cellphones.com.vn/loa-bluetooth-apple-beats-pill.html,Loa Bluetooth Không Dây Apple Beats Pill 2024,Beats by Dr. Dre,Liên hệ,LB.231,"Mua Loa Beats Pill Speaker ML4P2ZA-A chính hãng - Giá rẻ, giảm thêm Smember, góp 0%. bảo hành uy tín, giao toàn quốc. Mua Beats Pill tại đây",,Lossless Audio,,24 giờ,IP67,Beats by Dr. Dre,10m,,,,,Sạc nhanh Fast FuelSạc ngượcChế độ Amplify Mode,,,,,,
https://cellphones.com.vn/loa-bluetooth-marshall-woburn-iii.html,Loa Bluetooth Marshall Woburn III,Marshall,Liên hệ,loa-bluetooth-marshall-woburn-iii,"Mua Loa Marshall Woburn 3 (III) chính hãng - Giá rẻ, chất lượng, bảo hành uy tín, giao hàng toàn quốc. Mua ngay Marshall Woburn 3 tại đây.",7.45 kg ,Âm thanh nổi  Hi-Res Audio,150 W,Cắm nguồn trực tiếp,,Marshall,,400 x 317 x 203 mm,,Cổng 3.5 mm  RCA  HDMI,Loa Woofer: 1 x 153 mm Loa Mid-range: 1 x 50 mm Loa Tweeter: 2 x 20 mm,Đèn LED báo tín hiệu pin,,,,,,
https://cellphones.com.vn/loa-xach-tay-karaoke-arirang-mb2cw.html,Loa Karaoke xách tay Arirang MB2cw,Arirang,Liên hệ,loa-xach-tay-karaoke-arirang-mb2cw,"Mua Loa Karaoke xách tay Arirang MB2cw chính hãng - Giá tốt, hỗ trợ trả góp, bảo hành uy tín, giao hàng toàn quốc. Mua ngay Arirang MB2cw tại đây.",11.3kg,Âm thanh kỹ thuật số DSP,RMS: 200WPMPO: 800W,"12.8V DC, 6000 mAh",,Arirang,,470 x 275 x 250 mm,,OPT: Vào âm thanh OpticalARC: Vào âm thanh HDMI ARCAUX: Vào âm thanh jack 3.5mmUSB: Kết nối USBLIVE: Ra âm thanh livestreamHEADPHONES: Ra âm thanh tai ngheGUITAR: Kết nối đàn GuitarMIC: Kết nối Micro có dây,Bass: 16.5 cm x2 Trung: 10cm Treble: 4cm,Tích hợp phát nhạc từ USBTính năng livestreamKết nối OTG,,,,,,
https://cellphones.com.vn/loa-bluetooth-stargo-flex-go.html,Loa Bluetooth StarGO Flex Go,StarGO,Liên hệ,loa-bluetooth-stargo-flex-go,"Mua Loa Bluetooth StarGO Flex Go chính hãng - Giá tốt, bảo hành uy tín, giao hàng toàn quốc. Mua ngay StarGO Flex Go tại đây.",402g,,5W x 2,3 giờ,,StarGO,,81 x 77 x 181 mm,,,Màng loa kép: 52 mm ,,,,,,,
https://cellphones.com.vn/loa-bluetooth-marshall-emberton-iii.html,Loa Bluetooth Marshall Emberton III,Marshall,Liên hệ,loa-bluetooth-marshall-emberton-iii,"Mua loa bluetooth Marshall emberton III chính hãng - Giá tốt, bảo hành uy tín, giao hàng miễn phí toàn quốc. Mua Marshall emberton III tại đây.",0.67 kg ,MarshallCông nghệ True Stereophonic,2 x 38W,32 giờ,IP67,Marshall,,160 x 68 x 76.9 mm,,,Hai bộ tản nhiệt thụ động toàn dải 1” 10W,Sạc nhanh,,,,,,
https://cellphones.com.vn/loa-sonos-roam-sl.html,Loa Bluetooth Sonos Roam SL,Hãng khác,Liên hệ,loa-sonos-roam-sl,"Mua Loa Sonos Roam SL chính hãng - Giá tốt, bảo hành uy tín, giao hàng tận nơi toàn quốc. Mua ngay Sonos Roam SL tại đây.",0.42kg,,,10 giờ,IP67,Hãng khác,,,,,,Kết nối Wi-Fi,,,,,,
https://cellphones.com.vn/loa-bluetooth-divoom-fairy-ok.html,Loa Bluetooth Divoom Fairy-Ok,Divoom,Liên hệ,loa-bluetooth-divoom-fairy-ok,"Mua Loa Bluetooth Divoom Fairy-Ok chính hãng - Giá tốt, bảo hành uy tín, giao hàng tận nơi toàn quốc. Mua ngay Divoom Fairy-Ok tại đây.",Loa: 480 g Micro: 32 g,,10W,Loa: 6 giờ Micro: 3 giờ,,Divoom,,Loa: 60 x 65 x 93 mm Micro: 43 x 43 x 110 mm,,,Kích thước loa: 45 mm,Hỗ trợ thẻ nhớ TF card và chức năng FM radio,,,,,,
https://cellphones.com.vn/loa-bluetooth-alpha-works-aw-w88.html,Loa Bluetooth Alpha Works AW-W88,Alpha Works,Liên hệ,loa-bluetooth-alpha-works-aw-w88,"Loa bluetooth Alpha Works W88 chính hãng - Giá tốt, bảo hành uy tín, giảm giá khi mua kèm điện thoại. Mua ngay Alpha Works AW-W88 nhận nhiều ưu đãi ngay.",3.07 kg,,45W (RMS)90W (Peak),34 giờ,Không,Alpha Works,,,2,AUX in 3.5mm,Loa treble dome 2.6 inchLoa bass 4 inchAir Duct Design,,,,,,,
https://cellphones.com.vn/loa-bluetooth-tronsmart-mirtune-c3-plus.html,Loa Bluetooth Tronsmart Mirtune C3 Plus,Tronsmart,Liên hệ,loa-bluetooth-tronsmart-mirtune-c3-plus,"Mua Loa Bluetooth Tronsmart Mirtune C3 Plus chính hãng - Giá tốt, bảo hành uy tín, giao hàng tận nơi toàn quốc. Mua ngay Tronsmart Mirtune C3 Plus tại đây.",684g,Âm thanh nổiTùy chỉnh EQ qua ứng dụng Tronsmart,30W,18 giờ,IPX7,Tronsmart,, 210 x 80 x 85mm,2,Type-C,1*Tweeter + 1*Mid-woofer	,,,,,,,
https://cellphones.com.vn/loa-bluetooth-marshall-stockwell-2.html,Loa Bluetooth Marshall Stockwell 2,Marshall,Liên hệ,LB.149,"Loa bluetooth Marshall Stockwell 2  chính hãng, giá ưu đãi, bảo hành 6 tháng, miễn phí giao hàng tận nơi cùng nhiều khuyến mãi hấp dẫn",1.38kg,Âm thanh đa hướngÂm thanh nổi,20W,20 giờ,IPX4,Marshall,,180 x 161 x 70 mm,,3.5 mm,,,,,,,,
https://cellphones.com.vn/loa-bluetooth-jbl-go-essential-2.html,Loa Bluetooth JBL Go Essential 2,JBL,Liên hệ,loa-bluetooth-jbl-go-essential-2,"Mua loa JBL Go Essential 2 chính hãng - Giá tốt, bảo hành uy tín, giao hàng tận nơi toàn quốc. Mua ngay JBL Go Essential 2 tại đây.",180g,JBL Rich Original Pro Sound,3.1W,5 giờ,,JBL,,86 x 71.2 x 31.6 mm,,,,,,,,,,
https://cellphones.com.vn/loa-bluetooth-sony-ult-field-7.html,Loa Karaoke Sony ULT Field 7,Sony,Liên hệ,loa-bluetooth-sony-ult-field-7,"Mua Loa bluetooth Sony ULT Field 7 chính hãng, giá rẻ - Trả góp 0%, bảo hành uy tín, giao toàn quốc. Mua ngay Sony ULT Field SRS-ULT70 tại đây.",,ULT POWER SOUND,Hãng không công bố,30 giờ,IP67,Sony,,,,"Giắc cắm mini âm thanh nổi (VÀO), USB A, Ngõ vào Ghi-ta/MICRO: 1 (φ6,3 mm)",Loa tweeter: Xấp xỉ 46 mmLoa woofer: Xấp xỉ  114 mm,Party ConnectStereo Pair,,,,,,
https://cellphones.com.vn/loa-bluetooth-sony-srs-xv900.html,Loa Karaoke Sony SRS-XV900,Sony,Liên hệ,loa-bluetooth-sony-srs-xv900,"Mua Loa Karaoke Sony SRS-XV900 chính hãng - Giá rẻ, ưu đãi tốt, âm chất lượng, giao hàng nhanh toàn quốc. Mua Sony SRS-XV900 tại đây.",26.6 kg,"Clear Audio+, LIVE SOUND, MEGA BASS, Sound Booster cho TV",900W,25 giờ,,Sony,,,50,,Loa Tweeter trước 50mmLoa Tweeter hông 40mmLoa Tweeter sau 40mmLoa trung tần 120mmLoa Woofer 320 x 320 mm,"Hiệu ứng ánh sáng: đèn loa, đèn cho buổi tiệcFM",,,,,,
https://cellphones.com.vn/loa-bluetooth-xiaomi-speaker.html,Loa Bluetooth Xiaomi Speaker,Xiaomi,Liên hệ,loa-bluetooth-xiaomi-speaker,"Mua Loa Bluetooth Xiaomi Speaker chính hãng - Giá tốt, ưu đãi hấp dẫn, bảo hành uy tín, giao hàng miễn phí toàn quốc. Mua Loa Bluetooth Xiaomi Speaker tại đây.",660 g,, 2 x Loa dải cao 10W  Loa trầm 20W,17 giờ,IP67,Xiaomi,,"20,2 cm x 7,3 cm x 7,3 cm",,Hỗ trợ kết nối NFC mang đến trải nghiệm nghe nhạc liền mạch,,,"Hỗ trợ các tiện ích bổ sung trên ứng dụng Mi Home/Xiaomi Home giúp điều chỉnh hiệu ứng ánh sáng và âm thanh, cũng như thực hiện nâng cấp OTA",,,,,
https://cellphones.com.vn/loa-bluetooth-marshall-middleton.html,Loa Bluetooth Marshall Middleton,Marshall,Liên hệ,loa-bluetooth-marshall-middleton,"Mua Loa bluetooth Marshall Middleton chính hãng - Giá rẻ, trả góp 0%, bảo hành uy tín, giao hàng toàn quốc. Mua Middleton tại đây.",1.8 kg ,True Stereophonic  Hi-Res Audio,60 W,20 giờ,IP67,Marshall,,109 x 230 x 95 mm,,3.5 mm,,Đèn LED báo tín hiệu pinSạc nhanh,,,,,,
https://cellphones.com.vn/loa-bluetooth-sony-ult-field-5.html,Loa Bluetooth Sony ULT Field 5,Sony,Liên hệ,loa-bluetooth-sony-ult-field-5,"Loa di động không dây Sony ULT Field 5 chính hãng, dùng bền, bảo hành uy tín, có góp 0%. Mua loa Sony ULT Field 5 giao tận nơi toàn quốc.",3.3 kg,ULT POWER SOUND 2,,25 giờ,IP67,Sony,,320 x 125 x 144 mm,,,Loa tweeter: Xấp xỉ φ46 mmLoa woofer: Xấp xỉ 79 x 107 mm,Khử tiếng vọng khi đàm thoạiTối ưu hoá trường âm thanhStereo PairParty Connect,,,,,,
https://cellphones.com.vn/loa-thanh-soundbar-robot-rb590-10w.html,Loa thanh soundbar Robot RB590 10W,Robot,Liên hệ,loa-thanh-soundbar-robot-rb590-10w,"Mua Loa Robot RB590 10W chính hãng - Giá tốt, bảo hành uy tín, giao hàng tận nơi toàn quốc. Mua ngay Robot RB590 10W tại đây.",,,10W,5 giờ,,Robot,,,,Thẻ TF AUX,,"4 chế độ phát lại bài hát (Bluetooth, Thẻ TF, Flashdisk, Aux)",Tần số 40Hz ～ 18KHz,1200mAH,,,,
https://cellphones.com.vn/loa-bluetooth-marshall-kilburn-iii.html,Loa Bluetooth Marshall Kilburn III,Marshall,Liên hệ,loa-bluetooth-marshall-kilburn-iii,"Loa Marshall Kilburn III giá tốt, dùng bền. Trả góp 0%. Bảo hành 1 năm, tặng thêm 6 tháng bảo hành. Mua loa bluetooth Marshall Kilburn III giao 2h.",2.8 kg,Âm thanh 360° Dynamic loudness,,50 giờ,IP54,Marshall,, 273 × 150 × 169 mm,,3.5 mm,Loa trầm (x1): 4 inchLoa toàn dải (x2): 2 inch,Tích hợp pin sạc dự phòng,,,,,,
https://cellphones.com.vn/loa-bluetooth-bose-soundlink-max.html,Loa Bluetooth Bose SoundLink Max,Bose,Liên hệ,loa-bluetooth-bose-soundlink-max,"Mua Loa Bose SoundLink Max chính hãng - Giá rẻ, trả góp 0%, Giảm Smember, bảo hành uy tín, giao toàn quốc. Mua ngay Bose SoundLink Max tại đây.",,Âm thanh Stereo,,20 giờ,IP67,Bose,,,Kết nối 2 loa với công nghệ SimpleSync ,,,,,,,,,
https://cellphones.com.vn/loa-bluetooth-soul-storm-mini.html,Loa Bluetooth Soul Storm Mini,SOUL,Liên hệ,loa-bluetooth-soul-storm-mini,"Mua loa Soul Storm Mini chính hãng - Giá tốt, bảo hành uy tín, giao hàng tận nơi toàn quốc. Mua ngay Soul Storm Mini tại đây.",,,5W,5 giờ,IPX6,SOUL,10m,,,,,Kết nối nhiều thiết bị cùng lúc  Công nghệ Floatable Device,,,,,,
https://cellphones.com.vn/loa-bluetooth-jbl-partybox-ultimate.html,Loa Bluetooth JBL PartyBox Ultimate,JBL,Liên hệ,loa-bluetooth-jbl-partybox-ultimate,"Mua Loa JBL PartyBox Ultimate chính hãng - Giá tốt, ưu đãi hấp dẫn, bảo hành uy tín, giao hàng toàn quốc. Mua JBL PartyBox Ultimate tại đây.",39.5 kg,JBL Original Pro ,1100W,,IPX4,JBL,,455 x 1049 x 440 mm,,,Loa siêu trầm 2 x 242 mm Loa tầm trung 2 x 120 mm Loa tweeter 2 x 74 mm ,Kết nối với guitar + micro,,,,,,
https://cellphones.com.vn/loa-tronsmart-t8-mini-15w-portable-outdoor.html,Loa Bluetooth Tronsmart T8 Mini 15W Portable Outdoor,Tronsmart,Liên hệ,loa-tronsmart-t8-mini-15w-portable-outdoor,"Mua Loa Tronsmart T8 Mini 15W Portable Outdoor chính hãng - Giá tốt, bảo hành uy tín, giao hàng tận nơi toàn quốc. Mua ngay Tronsmart T8 Mini 15W Portable Outdoor tại đây.",,Âm thanh 360,15W,20 giờ,IPX7,Tronsmart,,,2,,,Đèn LED,,,,,,
https://cellphones.com.vn/loa-bluetooth-stargo-p10.html,Loa Bluetooth StarGO P10,StarGO,Liên hệ,loa-bluetooth-stargo-p10,"Mua Loa Bluetooth StarGO P10 chính hãng - Giá tốt, bảo hành uy tín, giao hàng toàn quốc. Mua ngay StarGO P10 tại đây.",,,5W,7 giờ,,StarGO,20 m,,,,52 mm,Thiết kế giá đỡ điện thoại,,,,,,
https://cellphones.com.vn/loa-jbl-authentics-300.html,Loa Bluetooth JBL Authentics 300,JBL,Liên hệ,loa-jbl-authentics-300,"Mua Loa JBL Authentics 300 chính hãng - Giá rẻ 06/2026, ưu đãi khủng, bảo hành 12 tháng, giao toàn quốc. Mua ngay JBL Authentics 300 tại đây.",4.9 kg ,,100W,8 giờ,,JBL,,342 x 195.6 x 180.3 mm,,Cổng 3.5mm,2x tweeter 25mm + loa woofer 5.25,Trợ lý giọng nóiTích hợp WiFi,,,,,,
https://cellphones.com.vn/loa-bluetooth-robot-rb525.html,Loa Bluetooth Robot RB525,Robot,Liên hệ,loa-bluetooth-robot-rb525,"Mua Loa Robot RB525 chính hãng - Giá rẻ, hỗ trợ trả góp, bảo hành uy tín, giao hàng tận nơi toàn quốc. Mua ngay Robot RB525 tại đây.",,,10 W,8 giờ,IPX4,Robot,,200 x 72 x 72 mm,2 loa RB525,,,Đèn LED RGB đẹp mắt,,,,,,
https://cellphones.com.vn/loa-bluetooth-tribit-stormbox-mini-portable-speaker.html,Loa Bluetooth Tribit StormBox Mini Portable Speaker,Tribit,Liên hệ,loa-bluetooth-tribit-stormbox-mini-portable-speaker,"Mua Loa Bluetooth Tribit StormBox Mini Portable Speaker chính hãng - Giá tốt, bảo hành uy tín, giao hàng tận nơi toàn quốc. Mua ngay Tribit StormBox Mini Portable Speaker tại đây.",707.6 g,Công nghệ xử lý kỹ thuật số (DSP),2 x 6 W,12 giờ (ở mức âm lượng 60% và tắt đèn),IPX7,Tribit,,119 x 91 x 91 mm,,AUX,2 loa toàn dải cao cấp 48mm,Hiệu ứng ánh sáng LED,,,,,,
