url,ten_san_pham,thuong_hieu,gia_ban,sku,mo_ta_ngan,Kích thước màn hình,Công nghệ màn hình,Camera sau,Camera trước,Chipset,Công nghệ NFC,Dung lượng RAM,Bộ nhớ trong,Pin,Thẻ SIM,Hệ điều hành,Tính năng màn hình,Loại CPU,Độ phân giải màn hình,Tương thích
https://cellphones.com.vn/iphone-17-pro.html,iPhone 17 Pro 256GB | Chính hãng,Apple,Liên hệ,iphone-17-pro,Gíá iPhone 17 Pro từ 33.190.000đ - 34.990.000đ cho bản 256GB - Thiết kế sáng tạo cho hiệu năng và thời lượng pin cực đỉnh - Mua 17 Pro tại CellphoneS,6.3 inches,Super Retina XDR,Chính: 48MP khẩu độ ƒ/1.6 OIS hỗ trợ chụp 24MP hoặc 48MPGóc Siêu Rộng: 48MP khẩu độ ƒ/2.2 góc nhìn 120°Telephoto: 48MP khẩu độ ƒ/2.8 OIS zoom quang học lên đến 8x,Camera 18MP Center Stage Khẩu độ ƒ/1.9,Chip A19 Pro,Có,,256 GB,,Sim kép (nano-Sim và e-Sim) - Hỗ trợ 2 e-Sim,iOS 26,"Màn hình Luôn Bật, ProMotion 120Hz, HDR, True Tone, Dải màu rộng (P3), Haptic Touch, Tỷ lệ tương phản 2.000.000:1, Độ sáng 1000 nit (tiêu chuẩn), 1600 nit (HDR), 3000 nit (ngoài trời) / tối thiểu 1 nit, Lớp phủ kháng dầu, Chống phản chiếu, Hỗ trợ đa ngôn ",CPU 6 lõi với 2 lõi hiệu năng và 4 lõi tiết kiệm điện,2622 x 1206  pixels,
https://cellphones.com.vn/dien-thoai-xiaomi-redmi-note-14-pro-plus.html,Xiaomi Redmi Note 14 Pro Plus 5G 8GB 256GB,Xiaomi,Liên hệ,dien-thoai-xiaomi-redmi-note-14-pro-plus,"Xiaomi Redmi Note 14 Pro+ 5G màn 6.67 inch 120Hz, camera 200MP, pin 5110mAh, sạc 120W. Mua Note 14 Pro Plus 5G giảm 26% tại CellphoneS.",6.67 inches,AMOLED,"Chính 200MP, OIS - f/1.65  Góc siêu rộng 8MP - f/2.2 Macro 2MP - f/2.4 ",Camera trước - f/2.2,Snapdragon® 7s Gen 3,Có,8 GB,256 GB, 5110 mAh,2 Nano-SIM,Android 14,"Tần số quét: Lên đến 120Hz  Độ sáng: 3000 nits   Độ sâu màu: 12-bit  Tỷ lệ tương phản: 5,000,000:1","8 nhân, xung nhịp 2.5Ghz",2712 x 1220 pixels,
https://cellphones.com.vn/iphone-15.html,iPhone 15 128GB | Chính hãng VN/A,Apple,Liên hệ,iphone-15,"iPhone 15 thường 128GB giá rẻ, đủ màu hồng, trắng,... chính hãng trang bị màn hình Dynamic Island 6.1 inch - Mua ip15 thường trả góp 0% tại CellphoneS",6.1 inches,Super Retina XDR OLED,Chính 48 MP &amp; Phụ 12 MP,"12MP, ƒ/1.9", Apple A16 Bionic 6 nhân,Có,6 GB,128 GB,3349 mAh,2 SIM (nano‑SIM và eSIM),iOS 17,Dynamic Island HDR display True Tone Wide color (P3) Haptic TouchLớp phủ oleophobia chống dấu vân tayĐộ sáng tối đa: 2000 nitsMặt kính cảm ứng: Kính cường lực Ceramic ShieldTần số quét 60 Hz,CPU 6 lõi với 2 lõi hiệu năng và 4 lõi tiết kiệm điện,2556 x 1179 pixels,
https://cellphones.com.vn/iphone-16-pro-max.html,Điện thoại iPhone 16 Pro Max 256GB,Apple,Liên hệ,iphone-16-pro-max,"Giá iphone 16 promax 256GB mới, ưu đãi trả góp 0%, trả trước 0 đồng, chính hãng, đủ màu, Màn hình Super Retina XDR - Mua Apple iPhone 16 Pro Max ngay",6.9 inches,Super Retina XDR OLED,"Camera chính: 48MP, f/1.78, 24mm, 2µm, chống rung quang học dịch chuyển cảm biến thế hệ thứ hai, Focus Pixels 100%Telephoto 2x 12MP: 52 mm, ƒ/1.6 Camera góc siêu rộng: 48MP, 13 mm,ƒ/2.2 và trường ảnh 120°, Hybrid Focus Pixels, ảnh có độ phân giải ","12MP, ƒ/1.9, Tự động lấy nét theo pha Focus Pixels",Apple A18 Pro,Có,8 GB,256 GB,,Sim kép (nano-Sim và e-Sim) - Hỗ trợ 2 e-Sim,iOS 18,Dynamic IslandMàn hình Luôn Bật Công nghệ ProMotion với tốc độ làm mới thích ứng lên đến 120Hz Màn hình HDR True Tone Dải màu rộng (P3) Haptic Touch Tỷ lệ tương phản 2.000.000:1,CPU 6 lõi mới với 2 lõi hiệu năng và 4 lõi hiệu suất,2868 x 1320 pixels,Tương Thích Với Thiết Bị Trợ Thính
https://cellphones.com.vn/dien-thoai-oppo-reno15-f.html,OPPO Reno15 F 5G 8GB 256GB,OPPO,Liên hệ,dien-thoai-oppo-reno15-f,"OPPO Reno15 F 5G màn hình 6.57 inch, pin 7000mAh. Giá 11.990.000đ, trả góp 0%, quà 4 triệu, thu cũ trợ giá 2 triệu. Mua ngay tại CellphoneS!",6.57 inches,AMOLED,"Chính 50MP f/1.8 (OIS, AF) + Góc siêu rộng 8MP f/2.2 + Macro 2MP f/2.4","50MP f/2.0, hỗ trợ AF",Qualcomm Snapdragon 6 Gen 1 5G,Có,8 GB,256 GB,7000mAh,2 Nano SIM (Sim 2 chung khe với thẻ nhớ),ColorOS 16.0,"1.07 tỷ màu (10-bit), DCI-P3 100%, Độ sáng tối đa 1400 nits",8 nhân,1080 x 2372 pixels (FullHD+),
https://cellphones.com.vn/dien-thoai-samsung-galaxy-s26-ultra.html,Samsung Galaxy S26 Ultra 5G 12GB 256GB,Samsung,Liên hệ,dien-thoai-samsung-galaxy-s26-ultra,"Samsung Galaxy S26 Ultra 12GB/256GB giảm 6tr5, thu cũ trợ giá đến 5tr, góp 0%. Mua S26 Ultra màn chống nhìn trộm, zoom 100x tại CellphoneS.",6.9 inches,Dynamic AMOLED 2X,"Góc rộng 200 MP, f/1.4Góc siêu rộng 50 MP, f/1.9Tele 50 MP, f/2.9Tele 10 MP, f/2.4","12 MP, f/2.2",Snapdragon 8 Elite Gen 5,Có,12 GB,256 GB,5000 mAh,2 Nano SIM hoặc 2 eSIM hoặc 1 Nano SIM + 1 eSIM,Android 16,Độ sáng tối đa 2600 nits,8 nhân,3120 x 1440 pixels (Quad HD+),
https://cellphones.com.vn/dien-thoai-samsung-galaxy-s25-ultra.html,Samsung Galaxy S25 Ultra 12GB 256GB,Samsung,Liên hệ,dien-thoai-samsung-galaxy-s25-ultra,"Mua Samsung Galaxy S25 Ultra giá rẻ 26tr49, lên đời từ 23tr225 tại CellphoneS. S25 Ultra chip Snapdragon 8 Elite, camera 200MP, hỗ trợ S-Pen.",6.9 inches,Dynamic AMOLED 2X,Camera siêu rộng 50MPCamera góc rộng 200 MPCamera Tele (5x) 50MPCamera Tele (3x) 10MP&quot;,12 MP,Snapdragon 8 Elite dành cho Galaxy (3nm),Có,12 GB,256 GB,5000 mAh,2 Nano-SIM + eSIM,Android 15,120Hz2600 nitsCorning® Gorilla® Armor 2,,3120 x 1440 pixels (Quad HD+),
https://cellphones.com.vn/iphone-17-pro-max.html,iPhone 17 Pro Max 256GB | Chính hãng,Apple,Liên hệ,iphone-17-pro-max,"iPhone 17 Pro Max chính hãng đủ dung lượng từ 256GB - 2TB, giá chỉ từ 36990tr - mua online điện thoại Apple iPhone 17 Pro Max giảm 5% tại CellphoneS",6.9 inches,Super Retina XDR,Chính: 48MP khẩu độ ƒ/1.6 OIS hỗ trợ chụp 24MP hoặc 48MPGóc Siêu Rộng: 48MP khẩu độ ƒ/2.2 góc nhìn 120°Telephoto: 48MP khẩu độ ƒ/2.8 OIS zoom quang học lên đến 8x,Camera 18MP Center Stage Khẩu độ ƒ/1.9,Chip A19 Pro,Có,,256 GB,,Sim kép (nano-Sim và e-Sim) - Hỗ trợ 2 e-Sim,iOS 26,"Màn hình Luôn Bật, ProMotion 120Hz, HDR, True Tone, Dải màu rộng (P3), Haptic Touch, Tỷ lệ tương phản 2.000.000:1, Độ sáng 1000 nit (tiêu chuẩn), 1600 nit (HDR), 3000 nit (ngoài trời) / tối thiểu 1 nit, Lớp phủ kháng dầu, Chống phản chiếu, Hỗ trợ đa ngôn ",CPU 6 lõi với 2 lõi hiệu năng và 4 lõi tiết kiệm điện,2868 x 1320 pixels,Tương thích với thiết bị trợ thính
https://cellphones.com.vn/iphone-17-256gb.html,iPhone 17 256GB | Chính hãng,Apple,Liên hệ,iphone-17-256gb,"Giá bán iPhone 17 thường 256GB chính hãng tại Việt Nam là 24.990.000đ, đủ màu trắng, xanh. tím - mua online ip17 thường giảm 5% tại CellphoneS",6.3 inches,Super Retina XDR OLED,48MP Fusion Main f/1.6 OIS12MP Tele 2x f/1.6 OIS48MP Ultra Wide f/2.2 120°,"18MP Center Stage, f/1.9, PDAF",Apple A19,Có,,256 GB,Xem video: 30 giờXem video trực tuyến: 27 giờ,Sim kép (nano-Sim và e-Sim) - Hỗ trợ 2 e-Sim,iOS 26,"Dynamic IslandMàn hình luôn bậtHDR460 ppiTrue ToneDải màu rộng (P3)Haptic TouchTỷ lệ tương phản 2.000.000:1Độ sáng 1000 nit (typ)Đỉnh 1600 nit (HDR)Đỉnh 3000 nit (ngoài trời)Lớp phủ chống vân tay, chống phản chi",6 lõi (2 hiệu năng + 4 tiết kiệm điện),2622 x 1206  pixels,
https://cellphones.com.vn/dien-thoai-samsung-galaxy-a57.html,Samsung Galaxy A57 5G 8GB 128GB,Samsung,Liên hệ,dien-thoai-samsung-galaxy-a57,"Mua Samsung Galaxy A57 5G giảm 12%, online giảm thêm 5%, lên đời trợ giá đến 2tr tại CellphoneS. A57 mỏng bậc nhất A series chỉ 6.9mm, 182g.",6.7 inches,Super AMOLED Plus,Camera chính: 50MPGóc siêu rộng 12MPMacro 5MP,12MP,Exynos 1680,Có,8 GB,128 GB,5000 mAh,,Android 16,Tần số quét: 120Hz16 triệu màu1900 nits,"1 nhân 2.9 GHz, 3 nhân 2.6 GHz &amp; 4 nhân 1.95 GHz",1080 x 2340 pixels (FullHD+),
