url,ten_san_pham,thuong_hieu,gia_ban,sku,mo_ta_ngan,Kích thước màn hình,Công nghệ màn hình,Camera sau,Camera trước,Chipset,Dung lượng RAM,Bộ nhớ trong,Pin,Hệ điều hành,Độ phân giải màn hình,Tính năng màn hình,Công nghệ NFC,Thẻ SIM,Loại CPU,Tương thích,Cảm biến
https://cellphones.com.vn/may-tinh-bang-lenovo-idea-tab-wifi-zafr0472vn-kem-op-va-but.html,Máy tính bảng Lenovo Idea Tab Wifi 8GB 128GB ZAFR0472VN kèm ốp lưng và bút,Lenovo,Liên hệ,may-tinh-bang-lenovo-idea-tab-wifi-zafr0472vn-kem-op-va-but,"Mua máy tính bảng Lenovo Idea Tab Wifi 8GB 128GB ZAFR0472VN kèm ốp lưng và bút chính hãng giá rẻ - Thu cũ đổi mới, bảo hành 12 tháng, đổi mới 30 ngày, trả góp 0%. Mua ngay máy tính bảng Lenovo Idea Tab Wifi 8GB 128GB ZAFR0472VN tại đây.",11 inches,IPS LCD,8.0 MP,5 MP,MediaTek Dimensity 6300,8 GB,128 GB,7040mAh,Android™ 15 trở lên,2560 x 1600 pixels (2.5K),Kích thước màn hình 11 inchĐộ phân giải 2560x1600 pixelTần số quét 90Hz500nitsCảm ứng đa điểm 10 điểmTỷ lệ màn hình 85%,,,"8C, 2x A76 @2.4GHz + 6x A55@2.0GHz",,
https://cellphones.com.vn/may-doc-sach-boox-go-color-7-gen-2.html,Máy đọc sách Boox Go Color 7 Gen 2,Boox,Liên hệ,may-doc-sach-boox-go-color-7-gen-2,"Mua máy đọc sách Boox Go Color 7 Gen 2 chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.",7.0 inches,,,,,4 GB,64 GB,2300mah,Android 13,1448x1072 pixels,Eink Kaleido 3 phẳng1448x1072 (300 dpi),,,Qualcomm Octa-core,,
https://cellphones.com.vn/apple-ipad-air-m3.html,iPad Air 11 inch M3 Wifi 128GB 2025 | Chính hãng Apple Việt Nam,Apple,Liên hệ,ipad-air-m3-11-inch,Apple iPad Air 11 M3 Wifi 128GB 2025 Chính Hãng,11 inches,Liquid Retina,"Camera góc rộng: 12MP, ƒ/1.8, Độ thu phóng kỹ thuật số lên đến 5xChụp ảnh toàn cảnh Panorama: 63MP","Camera 12MP, ƒ/2.0",Chip Apple M3,8 GB,128 GB,"Tích hợp pin sạc Li-Po 28,93 watt‑giờ",iPadOS 18,2360 x 1640  pixel,Màn hình Multi-Touch với công nghệ LED nền và IPSDải màu rộng (P3)True ToneLớp phủ kháng dầu chống in dấu vân tayCông nghệ ép kínLớp phủ chống phản chiếuĐộ sáng 500 nit,,,CPU 8 lõi với 4 lõi hiệu năng và 4 lõi tiết kiệm điện,Hỗ trợ Apple Pencil Pro Hỗ trợ Apple Pencil (USB‑C) Tính năng lướt Apple Pencil,
https://cellphones.com.vn/may-tinh-bang-lenovo-idea-tab-wifi-zafr0402vn-kem-but.html,Máy tính bảng Lenovo Idea Tab Wifi 8GB 256GB ZAFR0402VN kèm bút,Lenovo,Liên hệ,may-tinh-bang-lenovo-idea-tab-wifi-zafr0402vn-kem-but,"Máy tính bảng Lenovo Idea Tab Wifi 8GB 256GB ZAFR0402VN kèm bút kèm bút hàng chính hãng giá rẻ, trả góp 0%, bảo hành 12 tháng, đổi mới 30 ngày và nhiều ưu đãi khác!",11 inches,IPS LCD,8.0 MP,5 MP,MediaTek Dimensity 6300,8 GB,256 GB,7040mAh,Android 15 trở lên,2560 x 1600 pixels (2.5K),Kích thước màn hình 11 inchĐộ phân giải 2560x1600 pixelTần số quét 90Hz500nits,,,"8C, 2x A76 @2.4 GHz + 6x A55@2.0 GHz",,
https://cellphones.com.vn/may-tinh-bang-samsung-galaxy-tab-s10-ultra-5g.html,Samsung Galaxy Tab S10 Ultra 5G 12GB 256GB,Samsung,Liên hệ,may-tinh-bang-samsung-galaxy-tab-s10-ultra-5g,"Xem ngay Galaxy Tab S10 Ultra 5G của Samsung có gì được nâng cấp, giá bán bao nhiêu - cập nhật tin tức mới nhất về Tab S10 Ultra 256GB tại CellphoneS.",14.6 inches,Dynamic AMOLED 2X,13.0 MP + 8.0 MP,12.0 MP + 12.0 MP,MediaTek Dimensity 9300+,12 GB,256 GB,"11,200mAh","Android 14, One UI 6.1.1",1848 x 2960 Pixels,"120 Hz, 930 nitsKính cường lực Corning Gorilla GlassLớp phủ chống chói (mới)Độ sâu màu sắc 16M",Không,2 SIM (nano‑SIM và eSIM),"8 nhân, 3.4GHz,2.8GHz,2GHz",Bút S Pen,
https://cellphones.com.vn/ipad-pro-2022-11-inch-m2.html,iPad Pro 11 inch 2022 M2 Wifi 128GB I Chính hãng Apple Việt Nam,Apple,Liên hệ,ipad-pro-2022-11-inch-m2,"Apple iPad Pro (M2 - 11 inch) 2022 - Thông tin về hình ảnh, thông số, bao giờ ra mắt, giá bao nhiêu? Cấu hình iPad Pro 2022 cập nhật tại đây!",11 inches,Liquid Retina,"Camera góc rộng: 12MP, ƒ/1.8 Camera góc siêu rộng: 10MP, ƒ/2.4, 125°","Camera góc siêu rộng 12MP, 122°, ƒ/2.4",Apple M2,8 GB,128 GB,28.65 Wh (~ 7538 mAh),iPadOS 16,1668 x 2388 pixel,"True Tone, Tần số quét 120 HzCông nghệ ProMotionĐộ phản chiếu 1,8%",,,," Apple Pencil (thế hệ thứ 2), Magic Keyboard, Smart Keyboard Folio và Smart Folio",
https://cellphones.com.vn/may-tinh-bang-huawei-matepad-11-5-s-2026.html,Huawei Matepad 11.5 S 2026 12GB 256GB kèm bút bàn phím,Huawei,Liên hệ,may-tinh-bang-huawei-matepad-11-5-s-2026,"Mua máy tính bảng Huawei Matepad 11.5 S 2026 chip mạnh, pin trâu, màn hình 144Hz - Chính hãng, giá rẻ, thu cũ đổi mới, đổi trả 30 ngày, trả góp 0%",11.5 inches,LCD,"13 MP (khẩu độ f/1.8, AF)","8 MP (khẩu độ f/2.0, FF)",,12 GB,,8800 mAh,Harmony 4.3,2800 x 1840  pixels,Tốc độ làm mới thích ứng 30 ~ 144 HzTỷ lệ khung hình 3:2Độ tương phản 1500:1Độ sáng 500 nitGam màu rộng P3,,,,,
https://cellphones.com.vn/xiaomi-mi-pad-6.html,Xiaomi Pad 6 8GB 128GB,Xiaomi,Liên hệ,xiaomi-mi-pad-6,"Mua Xiaomi Pad 6 chính hãng, nâng cấp vượt trội, thiết kế đa nhiệm kiêm laptop - Mua Xiaomi Pad 6 giá rẻ, thu cũ trợ giá 500K, trả góp 0% tại CellphoneS!",11 inches,IPS LCD,"13 MP, f/2.2, PDAF","8 MP, f/2.2, 1/4&quot;, 1.12µm",Qualcomm Snapdragon 870 5G (7 nm),8 GB,128 GB,8840 mAh,Android 13,2880 x 1800 pixels,"1 tỷ màu, tần số quét 144Hz, HDR10, Dolby Vision, 550 nits, 309 ppi",Không,,1x3.2 GHz Kryo 585 &amp; 3x2.42 GHz Kryo 585 &amp; 4x1.80 GHz Kryo 585,,
https://cellphones.com.vn/may-tinh-bang-xiaomi-pad-7-8gb-256gb.html,Xiaomi Pad 7 8GB 256GB,Xiaomi,Liên hệ,may-tinh-bang-xiaomi-pad-7-8gb-256gb,"Mua máy tính bảng Xiaomi Pad 7 8GB 256GB giá rẻ - Hỗ trợ trả góp 0%, đổi mới 30 ngày, bảo hành chính hãng, giao hàng tận nơi miễn phí.",11.2 inches,IPS LCD,"13MP, f/2,2, PDAF, 1/3,06&quot;, 1,12μm","8MP, f/2,28, 1/4&quot;, 1,12μm",Snapdragon® 7+ Gen 3 Mobile Platform,8 GB,256 GB,8850mAh,Xiaomi HyperOS 2,2136 x 3200 pixels,"Tần số quét 144Hz, 68 tỷ màu, DCI-P3, Độ sáng cực đại 800 nit, HDR chuyên nghiệp, Màu thích ứng, Chế độ Sunlight, Chế độ đọc sách, HDR10, Dolby Vision®, Công nghệ cảm ứng ướt, Siêu phân giải 10X, Chứng nhận TÜV Rheinland",Không,,"8 lõi, tốc độ đến 2,8GHz (tiến trình 4nm)",,
https://cellphones.com.vn/samsung-galaxy-tab-s9-fe-plus-wifi.html,Samsung Galaxy Tab S9 FE Plus WIFI 8GB 128GB,Samsung,Liên hệ,samsung-galaxy-tab-s9-fe-plus-wifi,"Mua máy tính bảng Samsung Galaxy Tab S9 FE Plus Wifi giá rẻ, chính hãng bảo hành 12 tháng, nhiều ưu đãi hấp dẫn, trả góp 0% tại CellphoneS.",12.4 inches,TFT LCD,8 MP + 8 MP (góc siêu rộng),12 MP (góc siêu rộng),Exynos 1380,8 GB,128 GB,"10,090 mAh",Android 13,2560 x 1600 (WQXGA),"Tần số quét 90Hz, Gam màu DCI-P3, Độ sâu màu sắc 16M, Vision Booster, Hạn chế ánh sáng xanh",Không,,"8 nhân, 2.4GHz, 2GHz",Hỗ trợ bút S Pen (đi kèm trong hộp),
https://cellphones.com.vn/ipad-pro-m5-11-inch-512gb.html,iPad Pro chip M5 11 inch Wifi 512GB | Chính hãng Apple Việt Nam,Apple,Liên hệ,ipad-pro-m5-11-inch-512gb,"Mua iPad Pro chip M5 11 inch Wifi 512GB chính hãng, giá tốt, trợ giá lên đời, trả góp 0% lãi suất tại CellphoneS.",11 inches,Ultra Retina XDR,Camera 12MP WideKhẩu độ ƒ/1.8,Camera 12MP Center Stage trên cạnh ngang Khẩu độ ƒ/2.0,Apple M5,12 GB,512 GB,Pin sạc Li-Po 31.29 Wh, iPadOS 26,2420x1668 pixel,"Công nghệ ProMotion Độ sáng 1000nits, 264 ppi Tần số quét 120Hz True ToneLớp phủ kháng dầu chống in dấu vân tay Công nghệ ép kín Lớp phủ chống phản chiếu",Không,,CPU 9 lõi với 3 lõi hiệu năng và 6 lõi tiết kiệm điện,Hỗ trợ Apple Pencil Pro Hỗ trợ Apple Pencil (USB‑C) Tính năng lướt Apple Pencil,
https://cellphones.com.vn/may-tinh-bang-samsung-galaxy-tab-s11-ultra-5g-16gb-1tb.html,Samsung Galaxy Tab S11 Ultra 5G 16GB 1TB,Samsung,Liên hệ,may-tinh-bang-samsung-galaxy-tab-s11-ultra-5g-16gb-1tb,"Mua Samsung Galaxy Tab S11 Ultra 5G 16GB 1TB chính hãng giá rẻ - Thu cũ đổi mới, bảo hành 12 tháng, đổi mới 30 ngày, trả góp 0%. Mua ngay Samsung Galaxy Tab S11 Ultra 5G 16GB 1TB tại đây.",14.6 inches,Dynamic AMOLED 2X,Chính 13 MP - Phụ 8 MP,12 MP,MediaTek Dimensity 9400+,16 GB,1 TB,11600 mAh,Android 16,1848 x 2960 Pixels,Tần số quét120 Hz,Không,Nano-SIM + eSIM,8 nhân,Bút S Pen,
https://cellphones.com.vn/samsung-galaxy-tab-s9-wifi-12gb-256gb.html,Samsung Galaxy Tab S9 Wifi 12GB 256GB,Samsung,Liên hệ,samsung-galaxy-tab-s9-wifi-12gb-256gb,"Mua máy tính bảng Samsung Galaxy Tab S9 Wifi (12GB/256GB) giá rẻ - Hỗ trợ trả góp 0%, đổi mới 30 ngày, bảo hành chính hãng, giao hàng tận nơi miễn phí.",11 inches,Dynamic AMOLED 2X,13 MP,12 MP,Snapdragon 8 Gen 2 ,12 GB,256 GB,"8,400 mAh",Android 13,1600 x 2560 pixels,"Tần số quét 120 Hz, HDR10+, Vision Booster, Độ sâu màu sắc 16M",Không,,"8 nhân 3.36 GHz, 2.8GHz, 2GHz",S Pen,
https://cellphones.com.vn/may-tinh-bang-lenovo-idea-tab-plus-wifi-8gb-128gb-zag70981vn-kem-but-ban-phim.html,"Máy tính bảng Lenovo Idea Tab Plus Matte Edition Wifi 8GB 128GB ZAG70981VN kèm bút, bàn phím",Lenovo,Liên hệ,may-tinh-bang-lenovo-idea-tab-plus-wifi-8gb-128gb-zag70981vn,"Mua máy tính bảng Lenovo Idea Tab Plus Wifi 8GB 128GB ZAG70981VN kèm bút, bàn phím chính hãng giá rẻ - Thu cũ đổi mới, bảo hành 12 tháng, đổi mới 30 ngày, trả góp 0%. Mua ngay máy tính bảng Lenovo Idea Tab Plus Wifi 8GB 128GB ZAG70981VN tại đây.",12.1 inches,IPS,8MP,13MP,MediaTek Dimensity 6400,8 GB,128 GB,10200 mAh,Android™ 15 trở lên,2560 x 1600 pixels (2.5K),Tần số quét 90Hz600nits (điển hình) - 800nits (HBM)Chống chói giống như giấy96% DCI-P3Cảm ứng đa điểm 10 điểm,,,"8C, 2x A76 @2.5GHz + 6x A55@2.0GHz",,
https://cellphones.com.vn/xiaomi-redmi-pad-2.html,Xiaomi Redmi Pad 2 3GB 32GB,Xiaomi,Liên hệ,xiaomi-redmi-pad-2,"Mua máy tính bảng Xiaomi Redmi Pad 2 3GB 32GB giá rẻ - Hỗ trợ trả góp 0%, đổi mới 30 ngày, bảo hành chính hãng, giao hàng tận nơi miễn phí.",,IPS LCD, 8 MP,5 MP,Snapdragon 680,3 GB,32 GB,10.000 mAh,,1920 x 1200 pixels (FullHD+),,,,"4 nhân Cortex-A73 xung nhịp 2.4 GHz, 4 nhân Cortex-A53 xung nhịp 1.8 GHz",,
https://cellphones.com.vn/may-tinh-bang-teclast-t50-plus.html,Máy tính bảng Teclast T50 Plus 6GB 256GB,Teclast,Liên hệ,may-tinh-bang-teclast-t50-plus,"Mua máy tính bảng Teclast T50 Plus 6GB 256GB chính hãng - Giá rẻ, bảo hành 12 tháng, thu cũ đổi mới, trả góp 0%. Mua ngay máy tính bảng Teclast T50 Plus 6GB 256GB tại đây!",10.95 inches,IPS LCD,13MP + 0.08MP,8MP,Unisoc T620,6 GB,256 GB,8000 mAh,Android 14,1920 x 1200 pixels (FullHD+),"Tần số quét 90Hz, 400nits T-Colour 4.0Chứng nhận bảo vệ ánh sáng xanh",Không,2 Nano-SIM,Bộ xử lý 8 nhânXung nhịp đỉnh 2.2GHz,,
https://cellphones.com.vn/may-tinh-bang-xiaomi-pad-8-pro-12gb-256gb.html,Xiaomi Pad 8 Pro 12GB 256GB,Xiaomi,Liên hệ,may-tinh-bang-xiaomi-pad-8-pro-12gb-256gb,"Mua máy tính bảng Xiaomi Pad 8 Pro 12GB 256GB chính hãng giá rẻ - Thu cũ đổi mới, bảo hành 12 tháng, đổi mới 30 ngày, trả góp 0%. Mua ngay Xiaomi Pad 8 Pro 12GB 256GB tại đây.",11.2 inches,LCD,50 MP f/1.8,32 MP,Snapdragon 8 Elite,12 GB,256 GB,9.200 mAh,HyperOS 3,,"144 Hz, 12-bit màu, độ sáng tối đa 800 nit, cùng chuẩn HDR10, HDR Vivid",Có,,Octa-core,,
https://cellphones.com.vn/may-tinh-bang-xiaomi-pad-7.html,Xiaomi Pad 7 8GB 128GB,Xiaomi,Liên hệ,may-tinh-bang-xiaomi-pad-7,"Mua máy tính bảng Xiaomi Pad 7 giá rẻ - Hỗ trợ trả góp 0%, đổi mới 30 ngày, bảo hành chính hãng, giao hàng tận nơi miễn phí.",11.2 inches,IPS LCD,"13MP, f/2,2, PDAF, 1/3,06&quot;, 1,12μm","8MP, f/2,28, 1/4&quot;, 1,12μm",Snapdragon® 7+ Gen 3 Mobile Platform,8 GB,128 GB,8850mAh,Xiaomi HyperOS 2,2136 x 3200 pixels,"Tần số quét 144Hz, 68 tỷ màu, DCI-P3, Độ sáng cực đại 800 nit, HDR chuyên nghiệp, Màu thích ứng, Chế độ Sunlight, Chế độ đọc sách, HDR10, Dolby Vision®, Công nghệ cảm ứng ướt, Siêu phân giải 10X, Chứng nhận TÜV Rheinland",Không,,"8 lõi, tốc độ đến 2,8GHz (tiến trình 4nm)",,
https://cellphones.com.vn/may-tinh-bang-nubia-pad-pro.html,Nubia Pad Pro 12GB 256GB,Nubia,Liên hệ,may-tinh-bang-nubia-pad-pro,"Nubia Pad Pro 12GB 256GB chất lượng tốt, xài bền. Bảo hành 12 tháng, đổi mới 30 ngày, trả góp 0%. Mua ngay tablet Nubia Pad Pro giao ngay!",10.9 inches,TFT LCD,13MP,20MP,Snapdragon 8 Gen 3,12 GB,256 GB,10100 mAh,MyOS 15.0,2880 x 1800 pixels,Tần số quét 144HzHiển thị 1.07 tỷ màuHỗ trợ dải màu P3 Color GamutChứng nhận bảo vệ mắt SGS Low Blue Light,Có,,8 nhân,,
https://cellphones.com.vn/apple-ipad-air-m4-13-inch-256gb-wifi.html,iPad Air 13 inch M4 Wifi 256GB 2026 | Chính hãng,Apple,Liên hệ,apple-ipad-air-m4-13-inch-256gb-wifi,"Mua iPad Air 13 inch M4 Wifi 256GB 2026 chính hãng giá rẻ - Thu cũ đổi mới, bảo hành 12 tháng, đổi mới 30 ngày, trả góp 0%. Mua ngay iPad Air 13 inch M4 Wifi 128GB 2026 tại đây.",13 inches,Liquid Retina,"12MP, f/1.8, Độ thu phóng kỹ thuật số lên đến 5xChụp ảnh toàn cảnh Panorama (lên đến 63MP)","12MP Center Stage, ƒ/2.0",Chip Apple M4,12 GB,256 GB,"Tích hợp pin sạc Li-Po 36,59 watt‑giờ",iPadOS 26,2732 x 2048 pixels,Màn hình Multi-Touch với công nghệ LED nền và IPSĐộ sáng 600 nit264 ppiDải màu rộng (P3)True ToneLớp phủ chống phản chiếuCông nghệ ép kín,,,8 lõi với 3 lõi hiệu năng và 5 lõi tiết kiệm điện,Hỗ trợ Apple Pencil ProHỗ trợ Apple Pencil (USB-C)Hỗ trợ Magic Keyboard cho iPad Air,
https://cellphones.com.vn/may-tinh-bang-samsung-galaxy-tab-s10-fe-5g.html,Samsung Galaxy Tab S10 FE 5G 8GB 128GB,Samsung,Liên hệ,may-tinh-bang-samsung-galaxy-tab-s10-fe-5g,"Máy tính bảng Samsung Galaxy Tab S10 FE 5G chính hãng chất lượng. Bảo hành 12 tháng, đổi mới 30 ngày, trả góp 0%. Mua Samsung Tab S10 FE 5G giao nhanh",10.9 inches,TFT LCD,13.0 MP,12.0 MP,Exynos 1580 (4 nm),8 GB,128 GB,"8,000 mAh",Android 15,2304 x 1440 pixels,"Tần số 90Hz, Độ sáng màn hình 800 nits, 16 triệu màu",,1 SIM thường/1 eSIM (chỉ dành cho bản 5G),"2.9GHz,2.6GHz,1.9GHz",Bút S Pen,
