url,ten_san_pham,thuong_hieu,gia_ban,sku,mo_ta_ngan,Loại micro,Phạm vi sử dụng,Dung lượng pin,Hãng sản xuất,Kết nối,Tỷ lệ lấy mẫu,Tỷ lệ tín hiệu trên tạp âm,Tần số đáp ứng,Dòng camera ,Độ phân giải màn hình,Pin,Tiện ích,Lõi pin,Tính năng khác,Chất liệu ,Cổng sạc vào
https://cellphones.com.vn/mic-khong-day-boya-magic-2tx-1rx.html,Mic không dây Boya Magic (2TX + 1RX),Boya,Liên hệ,mic-khong-day-boya-magic-2tx-1rx,"Mua mic không dây Boya Magic (2TX + 1RX) chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, bảo hành uy tín, giao hàng tận nơi toàn quốc.","Type-C, Lightning",100m,500mAh,Boya,Lightning/ Type-C/ 3.5mm,48 kHz / 24-bit,＞ 80 dB,20 Hz - 20 kHz,,,,,,,,
https://cellphones.com.vn/microphone-saramonic-blink-500-b2-plus.html,Microphone Saramonic Blink 500 B2+,Saramonic,Liên hệ,microphone-saramonic-blink-500-all-in-one,"Mua Microphone Saramonic Blink 500 All In One chính hãng - Giá tốt, bảo hành uy tín, giao hàng tận nơi toàn quốc. Mua ngay Saramonic Blink 500 All In One tại đây.",Type-C,150 mét,TX: 190mAhRX: 400mAh,Saramonic,,48kHz / 24bit,&gt; 80dB,20Hz-20kHz,,,,,,,,
https://cellphones.com.vn/microphone-khong-day-boya-by-v2.html,Microphone thu âm không dây Boya BY-V2 V2.0,Boya,Liên hệ,microphone-khong-day-boya-by-v2,"Mua Microphone thu âm không dây Boya BY-V2 V2.0 chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, bảo hành uy tín, giao hàng tận nơi toàn quốc.",Type-C,100 mét,,Boya,,48 kHz / 16-bit,80 dB,20 Hz - 16 kHz,,,Pin Lithium-ion tích hợp,,,,,
https://cellphones.com.vn/microphone-thu-am-khong-day-gochek-ultra-s24-s2401.html,Microphone thu âm không dây Gochek Ultra S24 - S2401,Gochek,Liên hệ,microphone-thu-am-khong-day-gochek-ultra-s24-s2401,"Mua microphone thu âm không dây Gochek Ultra S24 - S2401 chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, bảo hành uy tín, giao hàng tận nơi toàn quốc.","Type-C, Lightning",Không vật cản: 50mCó vật cản: 6 đến 10m,150mAh,Gochek,,,,35Hz - 20kHz,,RX: 8gTX: 12g,,,,,,
https://cellphones.com.vn/microphone-thu-am-boya-link-3-2tx-1rx-lightning-type-c-adapter.html,"Microphone thu âm không dây Boya Link 3 (2TX + 1RX + Lightning, Type-C Adapter)",Boya,Liên hệ,microphone-thu-am-boya-link-3-2tx-1rx-lightning-type-c-adapter,"Mua microphone thu âm không dây Boya Link 3 (2TX + 1RX + Lightning, Type-C Adapter) chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, bảo hành uy tín, giao hàng tận nơi toàn quốc.","Type-C, Lightning",300 m,1500mAh,Boya,,48 kHz / 24-bit,＞ 85 dB,20 Hz - 20 kHz,,,,,Pin Lithium-ion tích hợp,Micrô tụ điện 6 mm,,
https://cellphones.com.vn/bo-microphone-thu-am-hollyland-lark-m2s-duo-usb-c-rx.html,Microphone thu âm không dây Hollyland Lark M2S Duo USB-C RX,Hollyland Lark,Liên hệ,bo-microphone-thu-am-hollyland-lark-m2s-duo-usb-c-rx,"Mua Microphone thu âm không dây Hollyland Lark M2S Duo USB-C RX chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, bảo hành uy tín, giao hàng tận nơi toàn quốc.",Type-C,"Lên tới 300m LOS, 60m NLOS",TX: 1 x Pin sạc tích hợp 85 mAh (Không thể thay thế)Hộp sạc: Pin sạc Lithium-Ion 680 mAh,Hollyland Lark,2.4 GHz Digital,"48 kHz, 24-Bit",,20 Hz đến 20 kHz,,,,,,,,
https://cellphones.com.vn/microphone-khong-day-boya-by-v20.html,Microphone thu âm không dây Boya BY-V20 V2.0,Boya,Liên hệ,microphone-khong-day-boya-by-v20,"Mua Microphone thu âm không dây Boya BY-V20 V2.0 chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, bảo hành uy tín, giao hàng tận nơi toàn quốc.",Type-C,100 mét,,Boya,,48 kHz / 16-bit,80 dB,20 Hz - 16 kHz,,,Pin Lithium-ion tích hợp,,,,,
https://cellphones.com.vn/microphone-khong-day-dji-3-tx-tx-rx-2-mic.html,Microphone không dây DJI 3 (TX+TX+RX) 2 MIC,DJI,Liên hệ,microphone-khong-day-dji-3-tx-tx-rx-2-mic,"Microphone không dây DJI 3 (TX+TX+RX) 2 MIC Mic chính hãng - Giá rẻ, nhiều ưu đãi, trả góp 0%, bảo hành uy tín, giao hàng toàn quốc. Mua ngay DJI III tại đây.",Type-C,"400 m (môi trường mở, không nhiễu) 80 m (môi trường nhiễu cao)","TX: 137 mAh (0,531 Wh) RX: 275 mAh (1,065 Wh) Hộp sạc: 1950 mAh (7,55 Wh)",DJI,Wi-Fi 2.4 GHz &amp; 5.8 GHz SDR (tùy chỉnh) Bluetooth 5.4,48kHz,72 dB,50 Hz – 20 kHz,,,,,,,,
https://cellphones.com.vn/microphone-thu-am-shure-mv7-plus.html,Microphone thu âm Podcast Shure MV7+,Shure,Liên hệ,microphone-thu-am-shure-mv7-plus,"Mua Microphone Shure MV7+ chính hãng - Giá rẻ, Trả góp 0%, giảm Smember, bảo hành 1 năm, giao toàn quốc. Mua ngay Micro Shure MV7 Plus tại đây.",,,,Shure,USB-C và XLR,,,50 Hz đến 16.000 Hz,,,,"Chế độ tự động điều chỉnh mức, Loại bỏ tiếng ồn thời gian thực, Thanh trượt âm sắc, Reverb, Compressor, Limiter, Bộ lọc thông cao",,,Vỏ nhôm,
https://cellphones.com.vn/microphone-thu-am-khong-day-boya-mini-2.html,Microphone thu âm không dây Boya Mini 2,Boya,Liên hệ,microphone-thu-am-khong-day-boya-mini-2,"Mua microphone thu âm không dây Boya Mini 2 chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, bảo hành uy tín, giao hàng tận nơi toàn quốc.","Type-C, Lightning",100m,TX: 65mAhHộp sạc: 260mAh,Boya,,48 kHz / 16-bit,80 dB,20Hz-20kHz,,,,,,,,Type-C
https://cellphones.com.vn/bo-microphone-thu-am-hollyland-lark-max-2-ultimate-camera-usb-c-rx-ows-earphone.html,Microphone thu âm không dây Hollyland Lark Max 2 Ultimate Combo Camera + USB-C RX + OWS Earphone,Hollyland Lark,Liên hệ,hollyland-lark-max-2-ultimate-camera-usb-c-rx-ows-earphone,"Mua Microphone thu âm không dây Hollyland Lark Max 2 Ultimate Combo Camera + USB-C RX + OWS Earphone chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, bảo hành uy tín, giao hàng tận nơi toàn quốc.",Type-C,340m - LOS70m - NLOS,Mic: 167 mACamera RX: 300 mAhHộp sạc: 2800 mAhTai nghe OWS Monitor: 90 mAHộp sạc tai nghe: 500 mAh,Hollyland Lark,Chế độ GFSK 2 Mbps,48 kHz / 32-bit Float và 48 kHz / 24-bit,≥ 72dB,20Hz~20KHz,,,,,,,,
https://cellphones.com.vn/bo-microphone-thu-am-hollyland-lark-m2-duo-usb-c-rx.html,Microphone thu âm không dây Hollyland Lark M2 Duo USB-C RX,Hollyland Lark,Liên hệ,bo-microphone-thu-am-hollyland-lark-m2-duo-usb-c-rx,"Mua Microphone thu âm không dây Hollyland Lark M2 Duo USB-C RX chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, bảo hành uy tín, giao hàng tận nơi toàn quốc.",Type-C,"300m LOS, 40m NLOS",TX: 1 x Pin sạc tích hợpRX: 1x Pin sạc tích hợp 97 mAhHộp sạc Pin sạc Lithium-Ion 750 mAh,Hollyland Lark,2.4 GHz Digital,48 kHz,&gt; 70dB,20 Hz đến 20 kHz,,,,,,,,
https://cellphones.com.vn/microphone-khong-day-boya-by-v1.html,Microphone thu âm không dây Boya BY-V1 V2.0,Boya,Liên hệ,microphone-khong-day-boya-by-v1,"Mua Microphone thu âm không dây Boya BY-V1 V2.0 chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, bảo hành uy tín, giao hàng tận nơi toàn quốc.",Lightning,100 mét,,Boya,,48 kHz / 16-bit,80 dB,20 Hz - 16 kHz,,,Pin Lithium-ion tích hợp,,,,,
https://cellphones.com.vn/microphone-thu-am-boya-k5.html,Microphone thu âm Podcast/phòng thu/livestream Boya K5,Boya,Liên hệ,microphone-thu-am-boya-k5,"Mua microphone thu âm Podcast/phòng thu/livestream Boya K5 chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, bảo hành uy tín, giao hàng tận nơi toàn quốc.",Type-C,,,Boya,,,,20Hz-20kHz,,,,,,,,
https://cellphones.com.vn/bo-microphone-thu-am-hollyland-lark-a1-mini-duo-lightning-rx.html,Microphone thu âm không dây Hollyland Lark A1 Mini Duo Lightning RX,Hollyland Lark,Liên hệ,bo-microphone-thu-am-hollyland-lark-a1-mini-duo-lightning-rx,"Mua Microphone thu âm không dây Hollyland Lark A1 Mini Duo Lightning RX chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, bảo hành uy tín, giao hàng tận nơi toàn quốc.",Lightning,200m,TX: 65mAhHộp sạc: 460mAh,Hollyland Lark,Chế độ GFSK 2Mbps,48kHz/24Bit ,≥ 67dB,20Hz~20KHz,,,,,,,,
